page,row,cfic_policy,seq,year,payor,description,note
1,1,,,2002,0731126,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,2,,,2002,714351,Policy + SEQ not found IN Source data. Not processed.,
1,3,,,2002,702168,Policy + SEQ not found IN Source data. Not processed.,
1,4,,,2002,724460,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,5,,,2002,732490,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,6,,,2002,702154,Policy + SEQ not found IN Source data. Not processed.,
1,7,,,2002,702519,Policy + SEQ not found IN Source data. Not processed.,
1,8,,,2002,726605,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,9,,,2002,707916,Policy + SEQ not found IN Source data. Not processed.,
1,10,,,2013,701947,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,11,,,2013,700110,Policy + SEQ not found IN Source data. Not processed.,policy/seq handwritten only
1,12,,01,2002,43910,Policy + SEQ not found IN Source data. Not processed.,
1,13,"""10,021"" """,02,2002,0396708,Policy + SEQ not found IN Source data. Not processed.,quote characters are printed in original
1,14,"""10,366""""",01,2011,329751,Policy + SEQ not found IN Source data. Not processed.,quote characters are printed in original
1,15,"209400""""",02,2010,209400,Policy number too long. Not processed.,quote characters are printed in original
1,16,,02,2012,2004856,Policy + SEQ not found IN Source data. Not processed.,policy handwritten only (CN-1133)
1,17,,01,2002,328574,Policy + SEQ not found IN Source data. Not processed.,policy handwritten only (struck through)
1,18,,01,2002,300876,Policy + SEQ not found IN Source data. Not processed.,policy handwritten only (struck through)
1,19,,01,2012,2003271,Policy + SEQ not found IN Source data. Not processed.,policy handwritten only (BN-5187)
1,20,01002192,01,2006,2192,Policy + SEQ not found IN Source data. Not processed.,ink over printed policy - verify
1,21,0011862,02,2010,2001578,Policy + SEQ not found IN Source data. Not processed.,
1,22,00131,01,2012,3001131,Policy + SEQ not found IN Source data. Not processed.,printed value struck through by hand
1,23,0016367,01,2014,2005048,Policy + SEQ not found IN Source data. Not processed.,
1,24,003022,01,2021,3002022,Payor not found in Source data. Not processed.,
1,25,003212,03,2022,3003212,Policy + SEQ not found IN Source data. Not processed.,
1,26,00988,04,2017,3000988,Policy + SEQ not found IN Source data. Not processed.,leading character may be obscured by ink - verify
1,27,01000064,01,2007,64,Payor not found in Source data. Not processed.,
1,28,01002015,02,2007,2015,Policy number too long. Not processed.,ink over printed policy - verify
1,29,01000238,01,2025,238,Policy + SEQ not found IN Source data. Not processed.,
1,30,01000481,03,2021,481,Policy + SEQ not found IN Source data. Not processed.,printed seq struck; 02 written by hand
1,31,01001437,01,2007,1737,Payor not found in Source data. Not processed.,printed seq struck; 02 written by hand
1,32,01001608,03,2022,1608,Policy + SEQ not found IN Source data. Not processed.,printed seq struck through
1,33,01002078,02,2025,2078,Policy + SEQ not found IN Source data. Not processed.,
1,34,01002078,06,2025,2078,Policy + SEQ not found IN Source data. Not processed.,
1,35,01002165,01,2013,2165,Policy + SEQ not found IN Source data. Not processed.,
1,36,01003015,02,2022,3015,Policy + SEQ not found IN Source data. Not processed.,
1,37,01003671,01,2005,3617,Policy + SEQ not found IN Source data. Not processed.,printed policy struck; 3617 written by hand
1,38,01004394,,2003,4394,Policy + SEQ not found IN Source data. Not processed.,no printed seq
1,39,01004565,01,2013,2165,Policy + SEQ not found IN Source data. Not processed.,printed payor 2165 struck; 4565 written by hand
1,40,0101694,06,2012,1694,Policy + SEQ not found IN Source data. Not processed.,printed policy struck; 01001694 written by hand
1,41,015064,02,2011,2000958,Policy + SEQ not found IN Source data. Not processed.,
1,42,01807S,01,2002,586988,Policy + SEQ not found IN Source data. Not processed.,leading chars handwritten (7A); trailing S vs 5 - verify
1,43,01807S,01,2002,586988,Policy + SEQ not found IN Source data. Not processed.,leading chars handwritten (1A); trailing S vs 5 - verify
1,44,01807S,01,2002,586988,Policy + SEQ not found IN Source data. Not processed.,leading chars handwritten (7A); trailing S vs 5 - verify
1,45,02000961,,2004,8000961,Policy + SEQ not found IN Source data. Not processed.,no printed seq
1,46,0256B003,03,2014,193087,Policy + SEQ not found IN Source data. Not processed.,
