product,pdf_count,zip_sources,naming_patterns,avg_size_mb
1015,1,MultipleCashValueFiles.zip,all_ages,1.38
101G,1,MultipleCashValueFiles.zip,all_ages,0.85
101M,1,MultipleCashValueFiles.zip,all_ages,3.77
802M,100,802M_CV.zip,directions;expiry_age;other,1.77
802W,100,802W_CV.zip,age_pdf,0.77
ABFN,62,ABFN_CV.zip,age_pdf;consolidated,2.94
ABFS,77,ABFS_CV.zip,age_pdf;consolidated,3.15
ABMN,62,ABMN_CV.zip,age_pdf;consolidated,2.94
ABMS,77,ABMS_CV.zip,age_pdf;consolidated,3.19
ALP2,1,MultipleCashValueFiles.zip,consolidated,31.38
ALP6,1,MultipleCashValueFiles.zip,consolidated,22.5
GDB,1,MultipleCashValueFiles.zip,consolidated,32.38
P7FN,54,P7FN_CV.zip,age_pdf;consolidated,2.83
P7FS,72,P7FS_CV.zip,age_pdf;consolidated,2.96
P7MN,54,P7MN_CV.zip,age_pdf;consolidated,2.8
P7MS,72,P7MS_CV.zip,age_pdf;consolidated,2.96
P8FJ,1,MultipleCashValueFiles.zip,consolidated,5.9
P8FN,1,MultipleCashValueFiles.zip,consolidated,26.18
P8FS,1,MultipleCashValueFiles.zip,consolidated,21.71
P8MJ,1,MultipleCashValueFiles.zip,consolidated,5.95
P8MN,1,MultipleCashValueFiles.zip,consolidated,25.74
P8MS,1,MultipleCashValueFiles.zip,consolidated,26.19
P9FJ,1,MultipleCashValueFiles.zip,consolidated,5.74
P9FN,1,MultipleCashValueFiles.zip,consolidated,22.75
P9FS,1,MultipleCashValueFiles.zip,consolidated,22.58
P9MJ,1,MultipleCashValueFiles.zip,consolidated,5.36
P9MN,1,MultipleCashValueFiles.zip,consolidated,24.16
P9MS,1,MultipleCashValueFiles.zip,consolidated,22.47
PLP,80,PLP_CV.zip,age_pdf,3.16
PLP6,46,PLP6_CV.zip,age_pdf,2.0
R28G,83,R28G_CV.zip,age_pdf;consolidated,1.51
R29G,1,MultipleCashValueFiles.zip,consolidated,23.04
R68G,47,R68G_CV.zip,age_pdf;consolidated,2.39
R69G,1,MultipleCashValueFiles.zip,consolidated,17.57
RW8,97,RW8_CV.zip,age_pdf;consolidated,2.62
RW9G,1,MultipleCashValueFiles.zip,consolidated,22.66
Table of Days,1,802W_CV.zip,other,0.73
