KIND,TABLE,FILENAME,ROWS,WAVE,PLANS,NOTES
factor,QuikCvs,QuikCvs.csv,40161,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
factor,QuikTvs,QuikTvs.csv,37430,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
factor,QuikNps,QuikNps.csv,39773,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
key,QuikPlCv,QuikPlCv.csv,128,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
key,QuikPlTv,QuikPlTv.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
member,QuikPlGd,QuikPlGd.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
member,QuikPlUw,QuikPlUw.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
member,QuikPlBd,QuikPlBd.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
member,QuikPlSt,QuikPlSt.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
member,QuikPlNb,QuikPlNb.csv,132,reserve,.822;0000;057;057F;057G;10;101G;3PFN;3PFS;3PMN;3PMS;3R1F;3R1M;3R2G;3R5F;3R5M;3R6G;3RWG;3X1F;3X1M;3X5F;3X5M;6;9PFN;9PFS;9PMN;9PMS;9R2G;9R6G;9RWG;A6N;ABFN;ABFS;ABMN;ABMS;ALP2;ALP6;B1FN;B1FS;B1MN;B1MS;B2FN;B2FS;B2MN;B2MS;BA5N;BA6B;BA6N;BLFN;BLFS;BLMN;BLMS;BS6N;CP05;CP10;CP20;CPSP;DPFN;DPFS;DPMN;DPMS;DR2G;DR6G;DRWG;DX1F;DX1M;DX5F;DX5M;FW5;GDB;HPFN;HPFS;HPMN;HPMS;HR2G;HR6G;HRWG;IFF1;IFF5;IFFS;LBR;LPI2;LPI6;LPIS;P7FN;P7FS;P7MN;P7MS;P8FJ;P8FN;P8FS;P8MJ;P8MN;P8MS;P9FJ;P9FN;P9FS;P9MJ;P9MN;P9MS;PLP;PLP6;Q1FN;Q1FS;Q1MN;Q1MS;Q2FN;Q2FS;Q2MN;Q2MS;Q3FN;Q3FS;Q3MN;Q3MS;QLFN;QLFS;QLMN;QLMS;R28;R28A;R28G;R29G;R68;R68G;R69G;RW18;RW28;RW8;RW8A;RW8G;RW9G;S28G;SLPW;TAF;TAFA;TAFB;TAFC;TAFD,CFIC reserve DBF; OBQ-2 assumptions may be blank
