source_pdf,page,cfic_plan_code,ql_plan,in_plan_crosswalk,product_family,rate_types_in_pdf,segment,notes,source_path
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,1,P7FN,10P7FN,Y,PermaLife 7 Juvenile,Gross Premium;Cash Value;Paid-Up,Female Nonsmoker ages 0-17,Also HPFN (2017 CSO),CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,1,P7MN,10P7MN,Y,PermaLife 7 Juvenile,Gross Premium;Cash Value;Paid-Up,Male Nonsmoker ages 0-17,Also HPMN,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,2,P7FS,10P7FS,Y,PermaLife 7 Juvenile,Gross Premium;Cash Value;Paid-Up,Female Smoker ages 0-17,Also HPFS,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,2,P7MS,10P7MS,Y,PermaLife 7 Juvenile,Gross Premium;Cash Value;Paid-Up,Male Smoker ages 0-17,Also HPMS,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,3,P7FN,10P7FN,Y,PermaLife 7 Adult,Gross Premium;Cash Value;Paid-Up,Female Nonsmoker ages 18-70,Also HPFN,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,P7MN,10P7MN,Y,PermaLife 7 Adult,Gross Premium;Cash Value;Paid-Up,Male Nonsmoker ages 18-70,Also HPMN,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,5,P7FS,10P7FS,Y,PermaLife 7 Adult,Gross Premium;Cash Value;Paid-Up,Female Smoker ages 18-70,Also HPFS,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,5,P7MS,10P7MS,Y,PermaLife 7 Adult,Gross Premium;Cash Value;Paid-Up,Male Smoker ages 18-70,Also HPMS,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,6,HRWG,10HRWG,Y,Quest I,Gross Premium,Whole Life column ages 0-75,Maps from RW8G; HR 2017 CSO,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,6,HR2G,10HR2G,Y,Quest I,Gross Premium,Paid-up at 65 column ages 0-55,Maps from R28G,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,6,HR6G,,N,Quest I,Gross Premium,20-pay column ages 0-65,Maps from R68G,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,7,QIII,,N,Quest II & III,Gross Premium,Whole life ages 0-75,Graded death benefit plan,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,8,X58F,10X58F,Y,5-Year Term,Gross Premium,Female base ages 15-64,Renewable/convertible to 65,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,9,X58M,10X58M,Y,5-Year Term,Gross Premium,Male base ages 15-64,,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,10,X18M,10X18M,Y,10-Year Term,Gross Premium,Male base ages 15-64,,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,11,X18F,10X18F,Y,10-Year Term,Gross Premium,Female base ages 15-64,Verify page — likely female 10yr,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,12,XR1F,10XR1F,Y,10-Year Term Rider,Gross Premium,Female rider ages 15-64,Renewal only ages 56-64,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,12,XR1M,10XR1M,Y,10-Year Term Rider,Gross Premium,Male rider ages 15-64,,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,13,XR5F,10XR5F,Y,5-Year Term Rider,Gross Premium,Female rider ages 15-64,,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,13,XR5M,10XR5M,Y,5-Year Term Rider,Gross Premium,Male rider ages 15-64,,CFIC_Rates/docs/CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,RW8,100RW8,Y,Whole Life,Plan definition,80 CSO whole life cash plan,QL: 100RW8,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,RW8G,10RW8G,Y,Whole Life,Plan definition,80 CSO; CV/loan/ETI; 8% loan,QL: 10RW8G,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,RW8A,10RW8A,Y,Whole Life,Plan definition,2006-2009 issue reserve adjustment,QL: 10RW8A,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,R28,100R28,Y,20-Pay Life,Plan definition,Premium payable 20 years,,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,R28G,10R28G,Y,20-Pay Life,Plan definition,80 CSO; CV/loan/ETI,,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,R29G,10R29G,Y,20-Pay Life,Plan definition,2001 CSO,,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,R68,100R68,Y,Pay to 65,Plan definition,Premium payable to age 65,,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
Quest_PermaLife_PlanCode_Rates.pdf,1,R68G,10R68G,Y,Pay to 65,Plan definition,80 CSO,,CFIC_Rates/docs/Quest_PermaLife_PlanCode_Rates.pdf
