RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,WOP,Age,Sex,Smoker
5.289999962,4.570000172,23.63999939,83.27999878,395.4200134,216,508,882,0,18,Female,No
6.539999962,5.360000134,30.31999969,100.1399994,422.0499878,236,523,878,0,18,Female,Yes
6.170000076,5.389999866,25.98999977,95.59999847,454.4400024,207,509,891,0,18,Male,No
8.329999924,7.039999962,36.88999939,126.3499985,510.8200073,229,529,890,0,18,Male,Yes
5.480000019,4.75,25.31999969,87.66000366,393.4299927,222,514,877,0,19,Female,No
6.769999981,5.579999924,32.29999924,105.0500031,419.769989,242,528,874,0,19,Female,Yes
6.369999886,5.579999924,28.25,101.1900024,452.5499878,217,517,887,0,19,Male,No
8.600000381,7.289999962,39.84000015,133.2899933,508.5799866,238,536,886,0,19,Male,Yes
5.690000057,4.940000057,27.10000038,92.19999695,391.3500061,229,519,873,0.05000000075,20,Female,No
7.019999981,5.809999943,34.38000107,110.0999985,417.3699951,247,533,869,0.05000000075,20,Female,Yes
6.599999905,5.789999962,30.70000076,107.0500031,450.5899963,226,525,884,0.03999999911,20,Male,No
8.890000343,7.559999943,43.04000092,140.5099945,506.25,247,544,882,0.03999999911,20,Male,Yes
5.900000095,5.139999866,28.97999954,96.90000153,389.1600037,235,524,868,0.05000000075,21,Female,No
7.269999981,6.050000191,36.56000137,115.2399979,414.8399963,253,537,863,0.05000000075,21,Female,Yes
6.820000172,6,33.31000137,113.1399994,448.519989,236,533,879,0.03999999911,21,Male,No
9.199999809,7.849999905,46.45999908,147.9499969,503.8099976,257,551,878,0.03999999911,21,Male,Yes
6.119999886,5.349999905,30.95000076,101.7399979,386.8500061,241,529,863,0.05000000075,22,Female,No
7.539999962,6.300000191,38.84000015,120.4400024,412.1799927,258,540,858,0.05000000075,22,Female,Yes
7.070000172,6.230000019,36.04000092,119.4400024,446.3200073,245,541,875,0.03999999911,22,Male,No
9.520000458,8.149999619,50.04999924,155.5700073,501.2200012,266,558,874,0.03999999911,22,Male,Yes
6.360000134,5.570000172,33.02000046,106.7300034,384.4100037,247,534,857,0.05000000075,23,Female,No
7.829999924,6.570000172,41.22000122,125.7399979,409.3699951,263,544,852,0.05000000075,23,Female,Yes
7.320000172,6.46999979,38.86999893,125.9300003,443.9700012,254,548,871,0.03999999911,23,Male,No
9.859999657,8.470000267,53.75999832,163.3200073,498.4500122,274,565,869,0.03999999911,23,Male,Yes
6.610000134,5.800000191,35.18999863,111.8799973,381.8399963,253,539,851,0.05000000075,24,Female,No
8.130000114,6.849999905,43.70000076,131.1399994,406.3999939,268,547,846,0.05000000075,24,Female,Yes
7.599999905,6.730000019,41.79999924,132.6300049,441.4599915,262,554,866,0.03999999911,24,Male,No
10.23999977,8.819999695,57.58000183,171.1799927,495.480011,282,571,864,0.03999999911,24,Male,Yes
6.869999886,6.050000191,37.45999908,117.2300034,379.1300049,258,543,845,0.05000000075,25,Female,No
8.43999958,7.139999866,46.27999878,136.6499939,403.269989,273,550,839,0.05000000075,25,Female,Yes
7.900000095,7.010000229,44.79999924,139.5399933,438.769989,270,561,860,0.03999999911,25,Male,No
10.63000011,9.18999958,61.47000122,179.1499939,492.2900085,290,576,858,0.03999999911,25,Male,Yes
7.139999866,6.300000191,39.81999969,122.7600021,376.2600098,264,547,839,0.05999999866,26,Female,No
8.770000458,7.449999809,48.97000122,142.2700043,399.9599915,277,552,832,0.05999999866,26,Female,Yes
8.210000038,7.300000191,47.86999893,146.6300049,435.8800049,277,566,855,0.05000000075,26,Male,No
11.05000019,9.579999924,65.41000366,187.1699982,488.8500061,296,581,852,0.05000000075,26,Male,Yes
7.429999828,6.570000172,42.27999878,128.5,373.2399902,269,551,832,0.05999999866,27,Female,No
9.119999886,7.78000021,51.75,148.0500031,396.4700012,282,555,825,0.05999999866,27,Female,Yes
8.550000191,7.619999886,51.00999832,153.9199982,432.7900085,283,572,849,0.05000000075,27,Male,No
11.51000023,10.01000023,69.38999939,195.2799988,485.1499939,302,585,846,0.05000000075,27,Male,Yes
7.739999771,6.860000134,44.81000137,134.4400024,370.0499878,274,555,825,0.05999999866,28,Female,No
9.489999771,8.119999886,54.56999969,153.9600067,392.7799988,285,557,818,0.05999999866,28,Female,Yes
8.909999847,7.949999809,54.24000168,161.4400024,429.4899902,289,577,842,0.05000000075,28,Male,No
11.98999977,10.46000004,73.41999817,203.5099945,481.1799927,307,589,839,0.05000000075,28,Male,Yes
8.06000042,7.159999847,47.41999817,140.6000061,366.6799927,278,559,818,0.05999999866,29,Female,No
9.869999886,8.479999542,57.41999817,160.0299988,388.8800049,289,559,809,0.05999999866,29,Female,Yes
9.279999733,8.300000191,57.54000092,169.1999969,425.9599915,294,582,835,0.05000000075,29,Male,No
12.51000023,10.93999958,77.47000122,211.8699951,476.9299927,312,592,831,0.05000000075,29,Male,Yes
8.390000343,7.46999979,50.09000015,146.9900055,363.1099854,282,562,810,0.05999999866,30,Female,No
10.27999973,8.859999657,60.29999924,166.2700043,384.769989,292,562,801,0.05999999866,30,Female,Yes
9.68999958,8.680000305,60.91999817,177.2100067,422.2099915,299,586,828,0.05000000075,30,Male,No
13.05000019,11.44999981,81.56999969,220.3600006,472.3999939,316,595,823,0.05000000075,30,Male,Yes
8.760000229,7.809999943,52.83000183,153.6100006,359.3500061,286,566,801,0.05999999866,31,Female,No
10.71000004,9.260000229,63.20999908,172.6499939,380.4299927,295,564,792,0.05999999866,31,Female,Yes
10.10000038,9.069999695,64.40000153,185.4900055,418.2099915,304,591,820,0.05000000075,31,Male,No
13.63000011,11.98999977,85.70999908,229,467.5599976,320,598,815,0.05000000075,31,Male,Yes
9.130000114,8.159999847,55.61999893,160.4499969,355.3699951,290,569,792,0.05999999866,32,Female,No
11.15999985,9.680000305,66.06999969,179.2100067,375.8399963,297,566,782,0.05999999866,32,Female,Yes
10.55000019,9.489999771,67.98000336,194.0500031,413.9700012,308,595,812,0.05000000075,32,Male,No
14.23999977,12.56000042,89.87999725,237.7799988,462.4200134,323,601,806,0.05000000075,32,Male,Yes
9.529999733,8.529999733,58.47999954,167.5299988,351.1600037,293,573,783,0.05999999866,33,Female,No
11.64000034,10.13000011,68.93000031,185.9100037,370.980011,298,567,772,0.05999999866,33,Female,Yes
11.03999996,9.93999958,71.68000031,202.8600006,409.4500122,312,599,803,0.05000000075,33,Male,No
14.89000034,13.17000008,94.08000183,246.6499939,456.9400024,326,603,797,0.05000000075,33,Male,Yes
9.93999958,8.920000076,61.40000153,174.8000031,346.7000122,296,576,773,0.05999999866,34,Female,No
12.14000034,10.60000038,71.76999664,192.7200012,365.8399963,300,569,761,0.05999999866,34,Female,Yes
11.52999973,10.39999962,75.48999786,211.9199982,404.6600037,316,603,794,0.05000000075,34,Male,No
15.57999992,13.81000042,98.30000305,255.6000061,451.1199951,328,606,786,0.05000000075,34,Male,Yes
10.38000011,9.329999924,64.41999817,182.3399963,341.9899902,299,579,763,0.05999999866,35,Female,No
12.67000008,11.09000015,74.65000153,199.6900024,360.4200134,301,571,750,0.05999999866,35,Female,Yes
12.06000042,10.89999962,79.45999908,221.2299957,399.5799866,319,607,784,0.05000000075,35,Male,No
16.29999924,14.48999977,102.5800018,264.5799866,444.9400024,330,608,776,0.05000000075,35,Male,Yes
10.84000015,9.760000229,67.54000092,190.1100006,337,301,583,752,0.0700000003,36,Female,No
13.22000027,11.60999966,77.54000092,206.8099976,354.6700134,301,572,738,0.0700000003,36,Female,Yes
12.63000011,11.43000031,83.56999969,230.8000031,394.1900024,323,611,773,0.05999999866,36,Male,No
17.06999969,15.21000004,106.8799973,273.5899963,438.3599854,332,610,764,0.05999999866,36,Male,Yes
11.34000015,10.22000027,70.79000092,198.1900024,331.7399902,304,586,740,0.0700000003,37,Female,No
13.81000042,12.15999985,80.5,214.1600037,348.6199951,302,574,726,0.0700000003,37,Female,Yes
13.22000027,11.97999954,87.81999969,240.5899963,388.480011,326,615,762,0.05999999866,37,Male,No
17.88999939,15.97000027,111.25,282.6499939,431.3900146,333,611,752,0.05999999866,37,Male,Yes
11.85000038,10.69999981,74.19000244,206.6300049,326.2000122,306,589,727,0.0700000003,38,Female,No
14.42000008,12.72999954,83.56999969,221.8399963,342.2600098,303,576,712,0.0700000003,38,Female,Yes
13.85000038,12.56999969,92.25,250.6600037,382.4200134,330,618,750,0.05999999866,38,Male,No
18.75,16.78000069,115.7099991,291.7900085,423.9899902,335,613,739,0.05999999866,38,Male,Yes
12.38000011,11.19999981,77.73999786,215.5099945,320.3500061,309,593,714,0.0700000003,39,Female,No
15.06000042,13.32999992,86.76000214,229.9499969,335.5799866,304,578,699,0.0700000003,39,Female,Yes
14.51000023,13.18999958,96.87999725,261.019989,375.9899902,333,622,737,0.05999999866,39,Male,No
19.64999962,17.62000084,120.3000031,301.0299988,416.1600037,336,615,725,0.05999999866,39,Male,Yes
12.94999981,11.72999954,81.48000336,224.8500061,314.2000122,312,597,701,0.0700000003,40,Female,No
15.72999954,13.94999981,90.11000061,238.5500031,328.5700073,305,581,684,0.0700000003,40,Female,Yes
