RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,Age,Sex
3.690000057,2.700000048,5.340000153,37.54999924,448.1900024,84,399,933,0,Female
4.550000191,3.5,10.97000027,51.45999908,540.0499878,131,424,941,0,Male
3.789999962,2.789999962,8.529999733,41.88999939,448.4400024,129,428,933,1,Female
4.670000076,3.619999886,15.76000023,56.77999878,540.5100098,180,452,942,1,Male
4.96999979,3.900000095,18.77000046,67.61000061,437.4200134,199,485,910,10,Female
6.309999943,5.150000095,26.11000061,84.72000122,527.7600098,215,486,920,10,Male
5.139999866,4.059999943,19.88999939,71.01999664,435.769989,203,490,907,11,Female
6.550000191,5.369999886,26.61000061,88.73999786,525.8099976,212,490,916,11,Male
5.329999924,4.230000019,21.06999969,74.58000183,434.0400085,207,495,903,12,Female
6.789999962,5.599999905,27.17000008,92.98999786,523.7700195,210,493,913,12,Male
5.510000229,4.400000095,22.30999947,78.31999969,432.230011,211,499,900,13,Female
7.050000191,5.840000153,27.87999916,97.51000214,521.6400146,208,497,909,13,Male
5.699999809,4.579999924,23.64999962,82.25,430.3299866,215,504,896,14,Female
7.309999943,6.079999924,28.82999992,102.3600006,519.460022,208,501,905,14,Male
5.889999866,4.760000229,25.07999992,86.37000275,428.3500061,220,508,892,15,Female
7.559999943,6.320000172,30.05999947,107.5500031,517.2199707,209,506,902,15,Male
6.110000134,4.960000038,26.71999931,90.79000092,426.3399963,225,513,887,16,Female
7.809999943,6.550000191,31.95000076,113.4199982,515.1099854,214,513,898,16,Male
6.320000172,5.159999847,28.45999908,95.38999939,424.2399902,230,518,883,17,Female
8.069999695,6.789999962,34.25,119.6999969,512.9799805,221,521,894,17,Male
3.890000105,2.890000105,9.729999542,44.38000107,447.519989,141,436,931,2,Female
4.809999943,3.75,17.51000023,59.22999954,539.460022,192,457,940,2,Male
4,2.99000001,10.92000008,46.91999817,446.519989,152,444,929,3,Female
4.960000038,3.890000105,19.18000031,61.77999878,538.3200073,202,460,938,3,Male
4.119999886,3.099999905,12.10999966,49.56000137,445.4500122,162,451,927,4,Female
5.119999886,4.039999962,20.80999947,64.51000214,537.1099854,211,464,936,4,Male
4.25,3.220000029,13.30000019,52.29000092,444.3099976,171,457,925,5,Female
5.289999962,4.199999809,22.34000015,67.41000366,535.8099976,218,468,934,5,Male
4.369999886,3.339999914,14.40999985,55.15000153,443.1000061,178,464,922,6,Female
5.46999979,4.360000134,23.40999985,70.5,534.4199829,220,472,931,6,Male
4.510000229,3.470000029,15.5,58.09000015,441.7999878,185,470,919,7,Female
5.659999847,4.539999962,24.29000092,73.80000305,532.9299927,221,476,929,7,Male
4.650000095,3.599999905,16.59000015,61.13999939,440.4299927,190,475,917,8,Female
5.860000134,4.730000019,24.98999977,77.25,531.3200073,220,479,926,8,Male
4.809999943,3.75,17.67000008,64.31999969,438.9700012,195,481,914,9,Female
6.079999924,4.929999828,25.59000015,80.88999939,529.5900269,218,483,923,9,Male
