K10,K25,K50,K100,K250,K500,WOP,Age,Sex
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,15,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,15,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,16,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,16,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,17,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,17,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,18,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,18,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,19,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,19,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,20,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,20,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,21,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,21,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,22,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,22,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,23,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,23,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,24,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,24,Male
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.2199999988,25,Female
4.269999981,2.640000105,2.140000105,1.889999986,1.779999971,1.710000038,0.1700000018,25,Male
4.260000229,2.640000105,2.119999886,1.850000024,1.710000038,1.629999995,0.2199999988,26,Female
4.289999962,2.670000076,2.170000076,1.929999948,1.809999943,1.74000001,0.1700000018,26,Male
4.269999981,2.660000086,2.150000095,1.879999995,1.75,1.669999957,0.2300000042,27,Female
4.300000191,2.700000048,2.210000038,1.970000029,1.860000014,1.779999971,0.1700000018,27,Male
4.28000021,2.690000057,2.180000067,1.919999957,1.789999962,1.700000048,0.2399999946,28,Female
4.320000172,2.74000001,2.25,2.00999999,1.909999967,1.830000043,0.1800000072,28,Male
4.289999962,2.720000029,2.220000029,1.950000048,1.830000043,1.74000001,0.25,29,Female
4.340000153,2.779999971,2.299999952,2.069999933,1.960000038,1.889999986,0.1800000072,29,Male
4.300000191,2.75,2.25999999,2,1.870000005,1.779999971,0.2599999905,30,Female
4.369999886,2.829999924,2.359999895,2.130000114,2.029999971,1.950000048,0.1899999976,30,Male
4.309999943,2.779999971,2.299999952,2.039999962,1.919999957,1.830000043,0.2800000012,31,Female
4.409999847,2.900000095,2.440000057,2.210000038,2.099999905,2.029999971,0.200000003,31,Male
4.329999924,2.819999933,2.349999905,2.089999914,1.970000029,1.879999995,0.2899999917,32,Female
4.46999979,2.980000019,2.529999971,2.299999952,2.200000048,2.119999886,0.2099999934,32,Male
4.349999905,2.869999886,2.400000095,2.150000095,2.029999971,1.940000057,0.3100000024,33,Female
4.539999962,3.079999924,2.630000114,2.410000086,2.309999943,2.220000029,0.2199999988,33,Male
4.380000114,2.930000067,2.470000029,2.220000029,2.099999905,2.00999999,0.3300000131,34,Female
