pl_plan,pl_desc,pl_type,pl_class,pl_valunit,pl_form,adfee_amt,payfee_amt,ir1_date,ir1_value,ir2_date,ir2_value,ir3_date,ir3_value,ir4_date,ir4_value,ir5_date,ir5_value,ir6_date,ir6_value,ir7_date,ir7_value,ir8_date,ir8_value,source_file
$GS2,,$,1,,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
010G,WAIVER OF PREMIUM,3,8,1000.00,WP-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
011G,WAIVER OF PREMIUM,3,8,1000.00,WP-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
012G,WAIVER OF PREMIUM,3,8,1000.00,WP-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
013G,WAIVER OF PREMIUM,3,8,1000.00,WP-92,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
014G,WAIVER OF PREMIUM,3,8,1000.00,WP-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
020G,WAVIER OF PREMIUM,3,8,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
021G,WPOB D/D,3,8,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
051G,ACCIDENTAL DEATH BENEFIT,3,8,1000.00,DI 8-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
052G,ACCIDENTAL DEATH BENEFIT,3,8,1000.00,DI 8-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
053G,ACCIDENTAL DEATH BENEFIT,3,8,1000.00,DI 8-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
