cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
3PFS,103PFS,F,SM,00,18,1,0.00,0,0.00,0.24,0.480000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,2,0.00,0,0.00,6.26,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,3,0.00,0,0.00,12.45,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,4,2.92,26,0.00,18.82,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,5,8.05,68,0.00,25.39,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,6,13.40,109,0.00,32.17,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,7,18.94,148,0.00,39.15,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,8,24.69,186,0.00,46.33,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,9,30.66,222,0.00,53.73,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,10,36.85,256,0.00,61.35,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,11,43.27,289,0.00,69.19,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,12,49.92,321,0.00,77.25,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,13,56.85,351,0.00,85.55,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,14,64.00,381,0.00,94.10,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,15,71.42,409,0.00,102.87,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,16,79.11,436,0.00,111.90,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,17,87.04,461,0.00,121.17,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,18,95.22,486,0.00,130.66,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,19,103.68,510,0.00,140.39,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,20,112.40,532,0.00,150.36,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,21,121.45,554,0.00,160.61,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,22,130.82,575,0.00,171.14,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,23,140.53,595,0.00,181.96,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,24,150.59,614,0.00,193.08,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,25,160.97,633,0.00,204.50,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,26,171.68,651,0.00,216.19,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,27,182.72,668,0.00,228.16,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,28,194.06,684,0.00,240.38,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,29,205.72,700,0.00,252.86,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,30,217.64,714,0.00,265.57,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,31,229.78,728,0.00,278.46,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,32,242.13,742,0.00,291.50,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,33,254.65,754,0.00,304.67,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,34,267.34,766,0.00,317.95,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,35,280.19,778,0.00,331.33,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,36,293.19,789,0.00,344.80,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,37,306.31,799,0.00,358.34,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,38,319.56,809,0.00,371.95,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,39,332.93,818,0.00,385.61,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,40,346.41,827,0.00,399.32,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,41,360.05,835,0.00,413.09,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,42,373.82,843,0.00,426.94,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,43,387.74,851,0.00,440.86,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,44,401.81,858,0.00,454.86,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,45,416.00,865,0.00,468.92,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,46,430.35,872,0.00,483.04,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,47,444.87,878,0.00,497.25,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,48,459.55,885,0.00,511.54,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,49,474.38,891,0.00,525.90,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,50,489.32,896,0.00,540.32,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,51,504.36,902,0.00,554.76,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,52,519.48,907,0.00,569.20,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,53,534.62,912,0.00,583.63,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,54,549.72,917,0.00,597.98,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,55,564.74,921,0.00,612.20,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,56,579.65,926,0.00,626.27,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,57,594.42,930,0.00,640.17,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,58,609.14,934,0.00,653.91,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,59,623.78,937,0.00,667.53,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,60,638.34,941,0.00,681.01,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,61,652.82,945,0.00,694.36,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,62,667.23,948,0.00,707.58,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,63,681.57,951,0.00,720.67,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,64,695.31,954,0.00,733.41,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,65,708.41,957,0.00,745.56,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,66,721.04,959,0.00,757.16,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,67,733.17,962,0.00,768.30,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,68,744.92,964,0.00,779.01,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,69,756.81,966,0.00,789.58,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,70,768.00,968,0.00,799.87,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,71,778.63,970,0.00,809.59,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,72,788.84,972,0.00,818.86,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,73,799.26,973,0.00,828.02,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,74,811.69,975,0.00,838.10,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,75,825.48,977,0.00,849.59,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,76,840.31,980,0.00,862.06,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,77,856.34,982,0.00,875.42,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,78,873.27,985,0.00,889.62,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,79,892.83,987,0.00,905.24,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,80,917.22,991,0.00,923.90,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,18,81,951.53,995,0.00,948.59,6.410000,0.480000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,1,0.00,0,0.00,0.26,0.520000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,2,0.00,0,0.00,6.49,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,3,0.00,0,0.00,12.90,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,4,3.45,30,0.00,19.51,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,5,8.82,72,0.00,26.33,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,6,14.39,113,0.00,33.36,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,7,20.16,152,0.00,40.58,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,8,26.16,189,0.00,48.03,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,9,32.38,225,0.00,55.69,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,10,38.83,259,0.00,63.58,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,11,45.52,293,0.00,71.69,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,12,52.47,324,0.00,80.04,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,13,59.66,355,0.00,88.64,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,14,67.12,384,0.00,97.47,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,15,74.83,412,0.00,106.55,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,16,82.81,439,0.00,115.88,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,17,91.02,465,0.00,125.43,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,18,99.52,489,0.00,135.22,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,19,108.28,513,0.00,145.25,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,20,117.37,535,0.00,155.56,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,21,126.79,557,0.00,166.16,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,22,136.55,578,0.00,177.05,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,23,146.64,598,0.00,188.23,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,24,157.08,618,0.00,199.72,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,25,167.84,636,0.00,211.48,6.660000,0.520000,1000.00,cifi0007.DBF
3PFS,103PFS,F,SM,00,19,26,178.92,654,0.00,223.52,6.660000,0.520000,1000.00,cifi0007.DBF
