cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
3R5M,103R5M,0,00,00,0,1,0.00,0,0.01,0.47,0.937200,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,2,0.00,0,0.01,0.28,0.541060,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,3,0.00,0,0.01,0.25,0.476090,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,4,0.00,0,0.01,0.25,0.476090,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,5,0.00,0,0.01,0.25,0.476090,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,6,0.00,0,0.01,0.12,0.212290,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,7,0.00,0,0.01,0.12,0.212290,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,8,0.00,0,0.01,0.12,0.212290,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,9,0.00,0,0.01,0.12,0.212290,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,10,0.00,0,0.01,0.12,0.212290,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,11,0.00,0,0.10,0.22,0.322560,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,12,0.00,0,0.17,0.30,0.322560,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,13,0.00,0,0.18,0.34,0.322560,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,14,0.00,0,0.13,0.32,0.322560,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,15,0.00,0,0.01,0.23,0.322560,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,16,0.00,0,0.21,0.51,0.793590,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,17,0.00,0,0.30,0.65,0.793590,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,18,0.00,0,0.26,0.68,0.793590,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,19,0.00,0,0.15,0.60,0.793590,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,20,0.00,0,0.01,0.48,0.793590,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,21,0.00,0,0.02,0.51,0.984620,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,22,0.00,0,0.04,0.52,0.984620,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,23,0.00,0,0.04,0.53,0.984620,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,24,0.00,0,0.03,0.53,0.984620,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,25,0.00,0,0.01,0.51,0.984620,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,26,0.00,0,0.06,0.59,1.096120,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,27,0.00,0,0.08,0.62,1.096120,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,28,0.00,0,0.05,0.61,1.096120,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,29,0.00,0,0.01,0.58,1.096120,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,30,0.00,0,0.01,0.56,1.096120,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,31,0.00,0,0.01,0.56,1.106570,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,32,0.00,0,0.02,0.57,1.106570,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,33,0.00,0,0.04,0.58,1.106570,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,34,0.00,0,0.03,0.59,1.106570,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,35,0.00,0,0.01,0.58,1.106570,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,36,0.00,0,0.15,0.73,1.310300,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,37,0.00,0,0.23,0.84,1.310300,0.937200,1000.00,cifi0007.DBF
3R5M,103R5M,0,00,00,0,38,0.00,0,0.25,0.90,1.310300,0.937200,1000.00,cifi0007.DBF
