cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
3X1F,103X1F,0,00,00,0,1,0.00,0,0.01,0.24,0.463770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,2,0.00,0,0.01,0.18,0.338160,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,3,0.00,0,0.01,0.14,0.251210,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,4,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,5,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,6,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,7,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,8,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,9,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,10,0.00,0,0.01,0.13,0.245140,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,11,0.00,0,0.11,0.22,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,12,0.00,0,0.22,0.32,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,13,0.00,0,0.28,0.41,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,14,0.00,0,0.33,0.47,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,15,0.00,0,0.34,0.49,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,16,0.00,0,0.33,0.50,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,17,0.00,0,0.28,0.47,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,18,0.00,0,0.22,0.41,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,19,0.00,0,0.12,0.33,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,20,0.00,0,0.01,0.23,0.319910,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,21,0.00,0,0.07,0.30,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,22,0.00,0,0.13,0.36,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,23,0.00,0,0.18,0.42,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,24,0.00,0,0.22,0.46,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,25,0.00,0,0.25,0.50,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,26,0.00,0,0.26,0.52,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,27,0.00,0,0.25,0.52,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,28,0.00,0,0.20,0.49,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,29,0.00,0,0.12,0.42,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,30,0.00,0,0.01,0.32,0.521770,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,31,0.00,0,0.24,0.57,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,32,0.00,0,0.44,0.79,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,33,0.00,0,0.61,0.97,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,34,0.00,0,0.73,1.11,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,35,0.00,0,0.80,1.21,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,36,0.00,0,0.78,1.23,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,37,0.00,0,0.69,1.18,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,38,0.00,0,0.53,1.06,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,39,0.00,0,0.30,0.86,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,40,0.00,0,0.01,0.60,0.889510,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,41,0.00,0,0.55,1.17,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,42,0.00,0,1.03,1.68,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,43,0.00,0,1.44,2.13,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,44,0.00,0,1.75,2.49,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,45,0.00,0,1.94,2.74,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,46,0.00,0,1.99,2.85,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,47,0.00,0,1.86,2.81,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,48,0.00,0,1.50,2.57,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,49,0.00,0,0.90,2.09,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,50,0.00,0,0.01,1.34,1.783870,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,51,0.00,0,1.79,3.25,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,52,0.00,0,3.33,4.91,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,53,0.00,0,4.54,6.28,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,54,0.00,0,5.39,7.31,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,55,0.00,0,5.84,7.97,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,56,0.00,0,5.84,8.19,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,57,0.00,0,5.31,7.93,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,58,0.00,0,4.20,7.11,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,59,0.00,0,2.44,5.67,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,60,0.00,0,0.01,3.57,4.703390,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,61,0.00,0,3.39,7.20,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,62,0.00,0,6.26,10.32,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,63,0.00,0,8.55,12.90,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,64,0.00,0,10.18,14.86,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,65,0.00,0,11.08,16.13,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,66,0.00,0,11.12,16.59,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,67,0.00,0,10.20,16.15,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,68,0.00,0,8.15,14.67,10.990730,0.463770,1000.00,cifi0007.DBF
3X1F,103X1F,0,00,00,0,69,0.00,0,4.82,11.98,10.990730,0.463770,1000.00,cifi0007.DBF
