cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
9PFN,109PFN,F,NS,00,0,1,0.00,0,0.00,0.15,0.294900,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,2,0.00,0,2.18,2.22,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,3,0.00,0,4.49,4.47,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,4,0.00,0,6.92,6.84,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,5,0.00,0,9.43,9.31,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,6,0.00,0,12.03,11.87,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,7,0.00,0,14.71,14.51,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,8,0.15,4,17.49,17.24,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,9,1.99,47,20.37,20.06,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,10,3.91,88,23.35,23.00,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,11,5.91,128,26.43,26.03,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,12,8.00,166,29.62,29.16,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,13,10.19,202,32.92,32.40,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,14,12.48,237,36.34,35.77,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,15,14.84,270,39.86,39.24,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,16,17.24,301,43.42,42.77,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,17,19.66,330,47.03,46.36,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,18,22.15,358,50.71,50.00,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,19,24.73,384,54.52,53.75,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,20,27.44,410,58.46,57.63,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,21,30.26,434,62.54,61.64,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,22,33.22,458,66.77,65.79,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,23,36.31,481,71.14,70.09,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,24,39.54,503,75.67,74.54,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,25,42.92,524,80.36,79.15,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,26,46.44,545,85.22,83.93,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,27,50.13,565,90.25,88.87,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,28,53.97,584,95.43,93.97,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,29,57.96,602,100.78,99.24,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,30,62.12,619,106.31,104.68,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,31,66.44,636,112.01,110.29,2.270870,0.294900,1000.00,cifi0007.DBF
9PFN,109PFN,F,NS,00,0,32,70.94,652,117.88,116.08,2.270870,0.294900,1000.00,cifi0007.DBF
