cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
9PMN,109PMN,M,NS,00,0,1,0.00,0,0.00,0.14,0.275240,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,2,0.00,0,2.58,2.62,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,3,0.00,0,5.28,5.26,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,4,0.00,0,8.09,8.01,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,5,0.00,0,11.01,10.88,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,6,0.00,0,14.04,13.85,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,7,0.44,10,17.18,16.94,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,8,2.60,53,20.43,20.13,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,9,4.88,94,23.80,23.44,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,10,7.25,134,27.29,26.87,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,11,9.73,172,30.91,30.43,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,12,12.31,208,34.64,34.10,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,13,14.99,243,38.48,37.88,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,14,17.75,276,42.41,41.77,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,15,20.57,307,46.42,45.75,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,16,23.40,336,50.46,49.77,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,17,26.21,362,54.49,53.80,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,18,28.96,386,58.48,57.81,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,19,31.70,409,62.48,61.81,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,20,34.54,430,66.60,65.87,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,21,37.48,451,70.83,70.04,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,22,40.52,471,75.18,74.33,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,23,43.73,491,79.73,78.78,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,24,47.13,511,84.46,83.42,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,25,50.68,530,89.37,88.24,2.653970,0.275240,1000.00,cifi0007.DBF
9PMN,109PMN,M,NS,00,0,26,54.40,548,94.46,93.25,2.653970,0.275240,1000.00,cifi0007.DBF
