cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
9RWG,109RWG,0,00,00,0,1,0.00,0,0.00,0.14,0.275240,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,2,0.00,0,2.84,2.87,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,3,0.00,0,5.80,5.77,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,4,0.00,0,8.89,8.80,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,5,0.00,0,12.09,11.94,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,6,0.00,0,15.42,15.21,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,7,2.00,38,18.86,18.59,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,8,5.00,90,22.43,22.10,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,9,7.00,121,26.13,25.73,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,10,10.00,165,29.96,29.49,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,11,13.00,206,33.92,33.39,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,12,16.00,243,38.01,37.42,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,13,19.00,276,42.23,41.57,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,14,22.00,306,46.56,45.84,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,15,25.00,334,50.97,50.21,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,16,28.00,359,55.42,54.64,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,17,31.00,383,59.88,59.10,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,18,35.00,417,64.32,63.55,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,19,38.00,437,68.79,68.01,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,20,41.00,455,73.39,72.54,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,21,45.00,482,78.12,77.21,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,22,48.00,496,82.99,82.00,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,23,52.00,519,88.00,86.95,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,24,56.00,539,93.17,92.04,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,25,60.00,557,98.50,97.29,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,26,64.00,574,103.99,102.70,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,27,68.00,588,109.68,108.29,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,28,73.00,609,115.59,114.09,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,29,77.00,619,121.74,120.12,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,30,82.00,635,128.11,126.38,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,31,88.00,656,134.72,132.87,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,32,93.00,668,141.53,139.57,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,33,99.00,685,148.52,146.47,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,34,104.00,693,155.70,153.56,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,35,110.00,706,163.06,160.83,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,36,117.00,724,170.61,168.28,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,37,123.00,734,178.32,175.91,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,38,129.00,742,186.22,183.72,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,39,136.00,754,194.29,191.71,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,40,143.00,765,202.55,199.87,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,41,150.00,775,210.98,208.22,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,42,158.00,788,219.61,216.74,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,43,165.00,794,228.45,225.48,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,44,173.00,804,237.58,234.46,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,45,181.00,812,246.99,243.74,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,46,190.00,822,256.71,253.30,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,47,199.00,831,266.74,263.17,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,48,208.00,838,277.10,273.37,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,49,218.00,847,287.80,283.90,2.902070,0.275240,1000.00,cifi0007.DBF
9RWG,109RWG,0,00,00,0,50,228.00,854,298.86,294.78,2.902070,0.275240,1000.00,cifi0007.DBF
