cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
ABMS,10ABMS,M,SM,00,0,1,0.00,0,0.00,2.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,2,0.00,0,3.00,3.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,3,0.00,0,6.00,6.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,4,0.00,0,9.00,9.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,5,0.00,0,12.00,12.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,6,0.00,0,16.00,16.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,7,0.00,0,19.00,19.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,8,0.00,0,23.00,23.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,9,0.00,0,28.00,27.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,10,2.00,41,32.00,32.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,11,5.00,97,37.00,36.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,12,8.00,147,41.00,41.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,13,11.00,192,46.00,45.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,14,13.00,217,51.00,50.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,15,16.00,255,56.00,55.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,16,19.00,291,61.00,60.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,17,22.00,324,66.00,65.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,18,24.00,341,70.00,70.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,19,27.00,370,75.00,74.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,20,30.00,396,80.00,79.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,21,33.00,420,85.00,84.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,22,36.00,442,91.00,90.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,23,39.00,461,96.00,95.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,24,43.00,488,102.00,101.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,25,47.00,512,109.00,107.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,26,51.00,532,115.00,114.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,27,56.00,559,123.00,121.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,28,61.00,581,130.00,128.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,29,66.00,600,138.00,136.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,30,71.00,616,146.00,144.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,31,77.00,637,154.00,152.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,32,84.00,662,163.00,160.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,33,90.00,676,172.00,169.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,34,97.00,694,182.00,179.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,35,105.00,715,192.00,189.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,36,112.00,727,202.00,199.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,37,120.00,742,213.00,209.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,38,129.00,760,223.00,220.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,39,138.00,775,235.00,231.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,40,147.00,787,246.00,242.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,41,156.00,797,258.00,254.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,42,166.00,810,270.00,266.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,43,176.00,820,282.00,278.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,44,186.00,828,294.00,290.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,45,197.00,839,307.00,302.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,46,208.00,848,320.00,315.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,47,220.00,859,333.00,328.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,48,231.00,864,346.00,341.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,49,243.00,871,360.00,355.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,50,256.00,880,374.00,369.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,51,269.00,887,388.00,383.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,52,282.00,893,402.00,397.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,53,296.00,901,416.00,411.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,54,309.00,904,431.00,425.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,55,323.00,910,445.00,440.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,56,337.00,915,460.00,454.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,57,352.00,921,475.00,469.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,58,367.00,926,489.00,484.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,59,381.00,929,504.00,498.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,60,397.00,935,519.00,513.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,61,412.00,938,534.00,528.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,62,427.00,940,549.00,543.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,63,443.00,945,564.00,558.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,64,459.00,949,578.00,573.00,3.810000,4.600000,0.00,cifi0007.DBF
ABMS,10ABMS,M,SM,00,0,65,474.00,951,593.00,587.00,3.810000,4.600000,0.00,cifi0007.DBF
