cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
ALP6,10ALP6,0,00,00,0,1,0.00,0,0.00,2.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,2,0.00,0,2.00,3.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,3,0.00,0,5.00,5.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,4,0.00,0,7.00,8.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,5,0.00,0,10.00,10.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,6,0.00,0,13.00,13.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,7,2.00,25,16.00,16.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,8,5.00,60,19.00,19.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,9,8.00,93,22.00,22.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,10,12.00,134,26.00,26.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,11,16.00,172,29.00,29.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,12,20.00,208,33.00,33.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,13,24.00,240,37.00,37.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,14,28.00,270,41.00,41.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,15,32.00,298,45.00,45.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,16,36.00,325,49.00,49.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,17,40.00,349,53.00,53.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,18,44.00,372,57.00,57.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,19,49.00,402,62.00,61.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,20,53.00,421,66.00,66.00,3.130118,4.000000,1000.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,60,471.00,967,,,,,0.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,0,65,558.00,9999,,,,,0.00,cifi0007.DBF
ALP6,10ALP6,0,00,00,1,1,0.00,0,0.00,1.00,3.234201,1.023924,1000.00,cifi0007.DBF
