cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
B1FS,10B1FS,F,SM,00,20,1,0.00,0,0.00,0.16,0.314180,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,2,0.00,0,0.07,0.22,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,3,0.00,0,0.13,0.29,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,4,0.00,0,0.16,0.34,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,5,0.00,0,0.15,0.35,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,6,0.00,0,0.15,0.34,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,7,0.00,0,0.13,0.33,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,8,0.00,0,0.11,0.31,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,9,0.00,0,0.07,0.28,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,20,10,0.00,0,0.00,0.23,0.380050,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,1,0.00,0,0.00,0.16,0.314180,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,2,0.00,0,0.08,0.24,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,3,0.00,0,0.13,0.30,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,4,0.00,0,0.14,0.33,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,5,0.00,0,0.15,0.34,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,6,0.00,0,0.15,0.35,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,7,0.00,0,0.15,0.35,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,8,0.00,0,0.13,0.34,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,9,0.00,0,0.08,0.31,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,21,10,0.00,0,0.00,0.24,0.398450,0.314180,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,1,0.00,0,0.00,0.16,0.003240,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,2,0.00,0,0.07,0.24,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,3,0.00,0,0.10,0.29,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,4,0.00,0,0.13,0.33,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,5,0.00,0,0.16,0.35,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,6,0.00,0,0.18,0.38,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,7,0.00,0,0.18,0.39,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,8,0.00,0,0.16,0.38,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,9,0.00,0,0.10,0.34,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,22,10,0.00,0,0.00,0.26,0.419990,0.003240,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,1,0.00,0,0.00,0.18,0.353450,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,2,0.00,0,0.05,0.25,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,3,0.00,0,0.10,0.30,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,4,0.00,0,0.15,0.35,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,5,0.00,0,0.20,0.39,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,6,0.00,0,0.22,0.43,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,7,0.00,0,0.22,0.45,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,8,0.00,0,0.19,0.43,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,9,0.00,0,0.12,0.38,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,23,10,0.00,0,0.00,0.28,0.442160,0.353450,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,1,0.00,0,0.00,0.20,0.392730,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,2,0.00,0,0.08,0.28,0.470220,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,3,0.00,0,0.15,0.35,0.470220,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,4,0.00,0,0.23,0.43,0.470220,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,5,0.00,0,0.29,0.49,0.470220,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,6,0.00,0,0.32,0.54,0.470220,0.392730,1000.00,cifi0007.DBF
B1FS,10B1FS,F,SM,00,24,7,0.00,0,0.32,0.55,0.470220,0.392730,1000.00,cifi0007.DBF
