cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
B2FN,10B2FN,F,NS,00,20,1,0.00,0,0.00,0.16,0.314180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,2,0.00,0,0.17,0.32,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,3,0.00,0,0.34,0.50,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,4,0.00,0,0.53,0.67,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,5,0.00,0,0.72,0.86,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,6,0.00,0,0.91,1.05,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,7,0.00,0,1.11,1.25,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,8,0.00,0,1.31,1.45,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,9,0.00,0,1.47,1.63,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,10,0.00,0,1.63,1.79,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,11,0.00,0,1.76,1.93,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,12,0.00,0,1.89,2.07,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,13,0.00,0,1.97,2.17,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,14,0.00,0,1.97,2.20,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,15,0.00,0,1.87,2.16,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,16,0.00,0,1.69,2.02,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,17,0.00,0,1.39,1.78,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,18,0.00,0,1.00,1.43,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,19,0.00,0,0.52,1.00,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,20,20,0.00,0,0.00,0.50,0.476950,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,1,0.00,0,0.00,0.16,0.314180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,2,0.00,0,0.20,0.36,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,3,0.00,0,0.41,0.56,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,4,0.00,0,0.63,0.77,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,5,0.00,0,0.85,1.00,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,6,0.00,0,1.09,1.23,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,7,0.00,0,1.31,1.45,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,8,0.00,0,1.51,1.67,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,9,0.00,0,1.70,1.86,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,10,0.00,0,1.88,2.04,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,11,0.00,0,2.04,2.21,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,12,0.00,0,2.15,2.35,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,13,0.00,0,2.19,2.43,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,14,0.00,0,2.14,2.42,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,15,0.00,0,2.00,2.32,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,16,0.00,0,1.75,2.13,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,17,0.00,0,1.40,1.83,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,18,0.00,0,0.98,1.44,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,19,0.00,0,0.50,0.99,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,21,20,0.00,0,0.00,0.51,0.508780,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,1,0.00,0,0.00,0.16,0.314180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,2,0.00,0,0.24,0.39,0.542180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,3,0.00,0,0.48,0.63,0.542180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,4,0.00,0,0.74,0.88,0.542180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,5,0.00,0,1.00,1.14,0.542180,0.314180,1000.00,cifi0007.DBF
B2FN,10B2FN,F,NS,00,22,6,0.00,0,1.26,1.40,0.542180,0.314180,1000.00,cifi0007.DBF
