cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
B2MN,10B2MN,M,NS,00,20,1,0.00,0,0.00,0.42,0.834540,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,2,0.00,0,0.00,0.42,0.834540,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,3,0.00,0,0.00,0.41,0.814910,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,4,0.00,0,0.00,0.40,0.805090,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,5,0.00,0,0.00,0.40,0.805090,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,6,0.00,0,0.00,0.39,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,7,0.00,0,0.00,0.39,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,8,0.00,0,0.14,0.47,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,9,0.00,0,0.35,0.64,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,10,0.00,0,0.62,0.88,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,11,0.00,0,0.91,1.16,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,12,0.00,0,1.17,1.43,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,13,0.00,0,1.40,1.68,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,14,0.00,0,1.58,1.89,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,15,0.00,0,1.66,2.01,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,16,0.00,0,1.60,2.02,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,17,0.00,0,1.40,1.90,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,18,0.00,0,1.05,1.62,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,19,0.00,0,0.58,1.21,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,20,20,0.00,0,0.00,0.68,0.788960,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,1,0.00,0,0.00,0.42,0.834540,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,2,0.00,0,0.00,0.41,0.814910,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,3,0.00,0,0.00,0.40,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,4,0.00,0,0.00,0.40,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,5,0.00,0,0.00,0.40,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,6,0.00,0,0.14,0.48,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,7,0.00,0,0.36,0.65,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,8,0.00,0,0.60,0.88,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,9,0.00,0,0.89,1.14,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,10,0.00,0,1.21,1.45,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,11,0.00,0,1.50,1.76,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,12,0.00,0,1.77,2.04,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,13,0.00,0,1.98,2.28,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,14,0.00,0,2.09,2.44,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,15,0.00,0,2.07,2.48,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,16,0.00,0,1.91,2.39,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,17,0.00,0,1.59,2.15,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,18,0.00,0,1.16,1.78,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,19,0.00,0,0.63,1.30,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,21,20,0.00,0,0.00,0.72,0.807660,0.834540,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,1,0.00,0,0.00,0.41,0.814910,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,2,0.00,0,0.03,0.43,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,3,0.00,0,0.06,0.46,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,4,0.00,0,0.12,0.50,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,5,0.00,0,0.29,0.62,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,6,0.00,0,0.53,0.83,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,7,0.00,0,0.80,1.08,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,8,0.00,0,1.13,1.38,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,9,0.00,0,1.48,1.72,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,10,0.00,0,1.81,2.06,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,11,0.00,0,2.11,2.37,0.831220,0.814910,1000.00,cifi0007.DBF
B2MN,10B2MN,M,NS,00,22,12,0.00,0,2.36,2.65,0.831220,0.814910,1000.00,cifi0007.DBF
