cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
BA6N,10BA6N,0,00,00,0,1,,,,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,7,,,,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,14,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,15,,,3.00,3.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,16,,,4.00,4.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,17,,,5.00,5.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,18,,,6.00,6.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,19,,,8.00,8.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,20,,,9.00,9.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,21,,,11.00,11.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,22,,,13.00,13.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,23,,,15.00,15.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,24,,,17.00,17.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,0,25,,,19.00,19.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,1,,,,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,14,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,15,,,3.00,3.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,16,0.00,,4.00,4.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,17,,,5.00,5.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,18,,,6.00,6.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,19,,,8.00,8.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,20,,,9.00,9.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,21,,,11.00,11.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,22,,,13.00,13.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,23,,,15.00,15.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,24,,,17.00,17.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,1,25,,,19.00,19.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,1,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,7,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,8,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,9,,,2.00,2.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,10,,,3.00,3.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,11,,,4.00,4.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,12,,,5.00,5.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,13,,,7.00,7.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,14,,,8.00,8.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,15,,,9.00,9.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,16,,,10.00,10.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,17,,,12.00,12.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,18,,,13.00,13.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,19,,,15.00,15.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,20,,,16.00,16.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,21,,,18.00,18.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,22,,,20.00,20.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,23,,,22.00,22.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,24,,,25.00,25.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,2,25,,,27.00,27.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,1,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,2,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,3,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,4,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,5,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,6,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,7,,,2.00,2.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,8,,,3.00,3.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,9,,,4.00,4.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,10,,,5.00,5.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,11,,,6.00,6.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,12,,,7.00,7.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,13,,,9.00,9.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,14,,,8.00,8.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,15,,,8.00,8.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,16,,,13.00,13.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,17,,,14.00,14.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,18,,,16.00,16.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,19,,,17.00,17.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,20,,,19.00,19.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,21,,,21.00,21.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,22,,,23.00,23.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,23,,,25.00,25.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,24,,,28.00,28.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,3,25,,,31.00,31.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,1,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,2,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,3,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,4,,,1.00,1.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,5,,,2.00,2.00,10.000000,10.000000,1000.00,cifi0007.DBF
BA6N,10BA6N,0,00,00,4,6,,,3.00,3.00,10.000000,10.000000,1000.00,cifi0007.DBF
