cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
BLFN,10BLFN,F,NS,00,18,1,0.00,0,0.00,0.16,0.324390,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,2,0.00,0,2.40,2.52,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,3,0.00,0,4.89,4.96,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,4,0.00,0,7.46,7.49,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,5,0.00,0,10.13,10.12,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,6,0.00,0,12.90,12.84,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,7,0.73,15,15.76,15.65,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,8,2.95,55,18.72,18.56,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,9,5.26,95,21.79,21.58,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,10,7.66,133,24.95,24.69,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,11,10.14,169,28.18,27.88,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,12,12.71,203,31.52,31.17,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,13,15.38,237,34.95,34.55,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,14,18.15,269,38.48,38.03,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,15,21.00,300,42.09,41.60,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,16,23.90,329,45.75,45.24,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,17,26.85,356,49.45,48.92,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,18,29.84,382,53.20,52.64,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,19,32.87,407,56.98,56.41,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,20,35.96,430,60.83,60.23,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,21,39.13,452,64.75,64.11,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,22,42.42,474,68.78,68.08,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,23,45.84,495,72.94,72.18,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,24,49.42,516,77.25,76.41,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,25,53.16,536,81.71,80.80,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,26,57.07,556,86.33,85.34,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,27,61.15,575,91.11,90.04,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,28,65.41,593,96.04,94.89,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,29,69.82,611,101.12,99.90,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,30,74.38,628,106.32,105.04,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,31,79.08,645,111.65,110.30,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,32,83.93,661,117.09,115.69,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,33,88.88,676,122.62,121.18,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,34,93.93,691,128.22,126.74,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,35,99.06,705,133.87,132.36,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,36,104.23,718,139.53,138.02,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,37,109.42,730,145.19,143.68,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,38,114.66,742,150.86,149.34,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,39,119.94,754,156.55,155.02,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,40,125.29,765,162.26,160.72,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,41,130.68,775,167.98,166.44,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,42,136.12,785,173.72,172.17,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,43,141.57,795,179.43,177.89,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,44,146.98,804,185.07,183.57,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,45,152.34,813,190.60,189.16,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,46,157.57,821,195.99,194.62,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,47,162.67,415,201.20,199.91,2.638290,0.324390,1000.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,48,170.54,420,209.20,206.52,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,49,178.64,424,217.37,214.61,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,50,186.96,429,225.71,222.86,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,51,195.52,433,234.21,231.27,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,52,204.29,437,242.86,239.85,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,53,213.27,441,251.66,248.58,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,54,222.43,445,260.58,257.44,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,55,231.77,449,269.60,266.40,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,56,241.25,452,278.70,275.47,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,57,250.85,455,287.86,284.59,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,58,260.56,458,297.05,293.77,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,59,270.35,461,306.27,302.98,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,60,280.18,464,315.47,312.19,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,61,290.02,467,324.62,321.36,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,62,299.79,469,333.66,330.46,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,63,309.43,471,342.53,339.41,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,64,318.96,474,351.25,348.21,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,65,328.44,476,359.87,356.88,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,66,337.83,478,368.37,365.44,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,67,346.89,479,376.54,373.78,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,68,355.56,481,384.31,381.75,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,69,363.95,482,391.81,389.38,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,70,372.02,484,398.99,396.72,2.638290,0.324390,500.00,cifi0007.DBF
BLFN,10BLFN,F,NS,00,18,71,379.71,485,405.80,403.72,2.638290,0.324390,500.00,cifi0007.DBF
