cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
DPMN,10DPMN,M,NS,00,0,1,0.00,0,0.00,0.14,0.275900,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,2,0.00,0,3.27,3.30,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,3,0.00,0,6.65,6.62,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,4,0.00,0,10.16,10.07,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,5,0.00,0,13.78,13.63,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,6,0.49,8,17.52,17.31,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,7,3.02,48,21.37,21.11,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,8,5.66,85,25.34,25.02,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,9,8.42,122,29.44,29.06,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,10,11.28,157,33.67,33.22,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,11,14.26,191,38.01,37.50,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,12,17.35,224,42.49,41.91,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,13,20.54,255,47.07,46.44,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,14,23.82,285,51.76,51.08,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,15,27.17,313,56.52,55.80,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,16,30.53,340,61.31,60.58,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,17,33.89,364,66.10,65.37,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,18,37.20,387,70.86,70.14,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,19,40.50,408,75.63,74.91,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,20,43.92,428,80.52,79.74,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,21,47.44,448,85.54,84.70,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,22,51.08,468,90.67,89.77,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,23,54.90,487,96.00,95.00,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,24,58.90,505,101.53,100.43,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,25,63.07,523,107.23,106.04,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,26,67.42,541,113.11,111.83,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,27,72.07,559,119.28,117.86,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,28,76.93,576,125.68,124.14,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,29,82.04,593,132.32,130.66,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,30,87.41,610,139.21,137.43,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,31,93.03,626,146.33,144.43,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,32,98.85,642,153.66,151.66,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,33,104.90,657,161.19,159.09,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,34,111.11,671,168.89,166.70,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,35,117.48,685,176.73,174.47,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,36,124.01,698,184.71,182.38,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,37,130.68,711,192.82,190.43,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,38,137.50,722,201.07,198.61,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,39,144.51,734,209.48,206.94,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,40,151.74,745,218.10,215.46,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,41,159.23,756,226.95,224.19,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,42,166.95,766,236.01,233.14,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,43,174.92,776,245.27,242.30,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,44,183.15,786,254.77,251.68,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,45,191.64,795,264.50,261.30,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,46,200.46,804,274.50,271.16,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,47,209.59,812,284.77,281.30,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,48,219.05,821,295.32,291.71,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,49,228.84,829,306.16,302.40,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,50,238.99,837,317.28,313.38,3.327740,0.275900,1000.00,cifi0007.DBF
DPMN,10DPMN,M,NS,00,0,51,249.47,845,328.68,324.64,3.327740,0.275900,1000.00,cifi0007.DBF
