cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
DR2G,10DR2G,0,00,00,0,1,0.00,0,0.00,0.14,0.278690,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,2,0.00,0,7.54,7.51,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,3,0.00,0,15.32,15.17,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,4,4.00,64,23.36,23.08,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,5,9.00,138,31.65,31.24,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,6,15.00,221,40.20,39.66,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,7,20.00,283,49.00,48.34,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,8,26.00,354,58.08,57.28,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,9,32.00,420,67.43,66.49,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,10,38.00,480,77.06,75.98,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,11,45.00,547,86.99,85.76,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,12,52.00,608,97.20,95.83,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,13,59.00,664,107.71,106.19,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,14,66.00,715,118.49,116.84,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,15,74.00,773,129.54,127.75,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,16,81.00,816,140.82,138.92,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,17,89.00,866,152.31,150.30,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,18,97.00,913,163.99,161.89,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,19,105.00,956,175.91,173.68,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,20,114.00,1000,188.17,185.78,7.472720,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,21,118.00,0,193.08,190.62,0.000000,0.278690,1000.00,cifi0007.DBF
DR2G,10DR2G,0,00,00,0,22,122.00,0,198.11,195.59,0.000000,0.278690,1000.00,cifi0007.DBF
