cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
DRWG,10DRWG,0,00,00,0,1,0.00,0,0.00,0.14,0.275900,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,2,0.00,0,3.54,3.57,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,3,0.00,0,7.22,7.18,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,4,0.00,0,11.02,10.92,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,5,0.00,0,14.94,14.78,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,6,2.00,30,19.00,18.77,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,7,5.00,71,23.18,22.89,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,8,8.00,109,27.48,27.13,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,9,11.00,145,31.92,31.50,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,10,14.00,177,36.50,36.01,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,11,18.00,219,41.21,40.65,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,12,21.00,246,46.05,45.43,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,13,24.00,270,51.03,50.34,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,14,28.00,304,56.11,55.37,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,15,32.00,334,61.28,60.49,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,16,36.00,363,66.49,65.68,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,17,39.00,380,71.72,70.91,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,18,43.00,405,76.93,76.12,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,19,47.00,428,82.17,81.35,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,20,51.00,450,87.54,86.66,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,21,55.00,470,93.05,92.09,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,22,59.00,488,98.69,97.67,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,23,63.00,504,104.49,103.39,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,24,68.00,527,110.43,109.26,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,25,72.00,540,116.53,115.28,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,26,77.00,559,122.80,121.46,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,27,82.00,576,129.26,127.83,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,28,87.00,591,135.94,134.40,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,29,93.00,610,142.84,141.19,3.598050,0.275900,1000.00,cifi0007.DBF
DRWG,10DRWG,0,00,00,0,30,98.00,622,149.97,148.20,3.598050,0.275900,1000.00,cifi0007.DBF
