cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
DX1M,10DX1M,0,00,00,15,1,0.00,0,0.00,0.17,0.339810,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,2,0.00,0,0.84,1.07,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,3,0.00,0,1.51,1.82,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,4,0.00,0,2.06,2.43,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,5,0.00,0,2.60,2.98,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,6,0.00,0,3.12,3.51,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,7,0.00,0,3.62,4.01,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,8,0.00,0,4.11,4.51,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,9,0.00,0,4.58,4.99,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,10,0.00,0,5.04,5.46,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,11,0.00,0,5.48,5.91,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,12,0.00,0,5.94,6.36,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,13,0.00,0,6.43,6.83,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,14,0.00,0,6.95,7.34,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,15,0.00,0,7.50,7.87,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,16,0.00,0,8.07,8.43,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,17,0.00,0,8.62,8.99,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,18,0.00,0,9.11,9.51,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,19,0.00,0,9.54,9.97,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,20,0.00,0,9.90,10.37,1.296550,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,21,0.00,0,10.32,10.83,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,22,0.00,0,10.63,11.19,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,23,0.00,0,10.83,11.45,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,24,0.00,0,10.89,11.58,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,25,0.00,0,10.82,11.58,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,26,0.00,0,10.59,11.43,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,27,0.00,0,10.20,11.12,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,28,0.00,0,9.67,10.66,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,29,0.00,0,9.07,10.09,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,30,0.00,0,8.37,9.44,1.439260,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,31,0.00,0,8.62,9.72,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,32,0.00,0,8.80,9.93,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,33,0.00,0,8.93,10.09,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,34,0.00,0,9.00,10.18,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,35,0.00,0,8.99,10.21,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,36,0.00,0,8.87,10.15,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,37,0.00,0,8.58,9.94,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,38,0.00,0,8.10,9.56,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,39,0.00,0,7.38,8.96,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,40,0.00,0,6.38,8.10,2.438240,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,41,0.00,0,7.98,9.81,5.259070,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,42,0.00,0,9.28,11.26,5.259070,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,43,0.00,0,10.25,12.39,5.259070,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,44,0.00,0,10.81,13.16,5.259070,0.339810,1000.00,cifi0007.DBF
DX1M,10DX1M,0,00,00,15,45,0.00,0,10.87,13.47,5.259070,0.339810,1000.00,cifi0007.DBF
