cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
DX5F,10DX5F,0,00,00,15,1,0.00,0,0.00,0.09,0.184470,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,2,0.00,0,0.66,0.78,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,3,0.00,0,1.28,1.42,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,4,0.00,0,1.91,2.05,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,5,0.00,0,2.57,2.69,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,6,0.00,0,3.24,3.35,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,7,0.00,0,3.94,4.04,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,8,0.00,0,4.65,4.74,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,9,0.00,0,5.37,5.46,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,10,0.00,0,6.06,6.16,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,11,0.00,0,6.76,6.86,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,12,0.00,0,7.49,7.57,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,13,0.00,0,8.23,8.31,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,14,0.00,0,8.98,9.06,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,15,0.00,0,9.74,9.81,0.898190,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,16,0.00,0,10.50,10.57,0.908800,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,17,0.00,0,11.24,11.32,0.908800,0.184470,1000.00,cifi0007.DBF
DX5F,10DX5F,0,00,00,15,18,0.00,0,11.98,12.07,0.908800,0.184470,1000.00,cifi0007.DBF
