cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
HPFS,10HPFS,F,SM,00,0,1,0.00,0,0.00,0.15,0.295610,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,2,0.00,0,3.58,3.61,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,3,0.00,0,7.33,7.28,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,4,0.00,0,11.23,11.10,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,5,0.10,1,15.24,15.05,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,6,3.11,39,19.37,19.13,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,7,6.23,76,23.61,23.31,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,8,9.47,112,27.99,27.62,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,9,12.84,146,32.50,32.07,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,10,16.33,179,37.15,36.65,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,11,19.95,211,41.93,41.37,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,12,23.70,242,46.86,46.22,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,13,27.59,271,51.93,51.22,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,14,31.64,300,57.17,56.37,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,15,35.82,328,62.53,61.67,3.644650,0.295610,1000.00,cifi0007.DBF
HPFS,10HPFS,F,SM,00,0,16,40.07,354,67.98,67.08,3.644650,0.295610,1000.00,cifi0007.DBF
