cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
HPMS,10HPMS,M,SM,00,0,1,0.00,0,0.00,0.14,0.275900,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,2,0.00,0,4.05,4.07,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,3,0.00,0,8.24,8.19,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,4,0.00,0,12.58,12.46,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,5,1.72,20,17.07,16.87,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,6,5.19,57,21.69,21.42,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,7,8.80,94,26.46,26.12,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,8,12.54,129,31.36,30.96,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,9,16.43,163,36.43,35.94,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,10,20.47,196,41.65,41.08,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,11,24.66,228,47.02,46.38,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,12,29.00,259,52.55,51.83,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,13,33.48,288,58.23,57.43,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,14,38.09,316,64.03,63.18,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,15,42.81,343,69.95,69.04,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,16,47.60,369,75.93,74.99,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,17,52.42,393,81.96,80.99,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,18,57.24,415,87.99,87.02,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,19,62.12,436,94.08,93.08,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,20,67.16,457,100.33,99.25,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,21,72.36,477,106.73,105.57,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,22,77.72,496,113.31,112.07,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,23,83.27,515,120.06,118.73,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,24,89.00,533,127.00,125.58,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,25,94.92,551,134.12,132.61,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,26,101.05,568,141.44,139.83,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,27,107.41,584,148.99,147.26,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,28,114.04,601,156.79,154.93,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,29,120.94,616,164.85,162.86,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,30,128.11,632,173.16,171.05,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,31,135.56,647,181.74,179.49,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,32,143.27,661,190.54,188.19,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,33,151.21,675,199.57,197.10,4.090270,0.275900,1000.00,cifi0007.DBF
HPMS,10HPMS,M,SM,00,0,34,159.39,689,208.81,206.23,4.090270,0.275900,1000.00,cifi0007.DBF
