cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
HR2G,10HR2G,0,00,00,0,1,0.00,0,0.00,0.14,0.278690,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,2,0.00,0,7.54,7.51,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,3,0.00,0,15.32,15.17,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,4,5.49,75,23.36,23.08,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,5,11.32,149,31.65,31.24,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,6,17.38,220,40.20,39.66,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,7,23.67,289,49.00,48.34,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,8,30.20,356,58.08,57.28,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,9,36.98,421,67.43,66.49,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,10,44.02,483,77.06,75.98,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,11,51.32,544,86.99,85.76,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,12,58.89,602,97.20,95.83,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,13,66.72,658,107.71,106.19,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,14,74.81,712,118.49,116.84,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,15,83.14,764,129.54,127.75,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,16,91.68,814,140.82,138.92,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,17,100.40,863,152.31,150.30,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,18,109.29,910,163.99,161.89,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,19,118.39,955,175.91,173.68,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,20,127.82,1000,188.17,185.78,7.472720,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,21,131.83,0,193.08,190.62,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,22,135.97,0,198.11,195.59,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,23,140.24,0,203.27,200.69,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,24,144.66,0,208.57,205.92,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,25,149.21,0,214.01,211.29,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,26,153.92,0,219.60,216.81,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,27,158.81,0,225.36,222.48,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,28,163.90,0,231.31,228.34,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,29,169.21,0,237.47,234.39,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,30,174.73,0,243.82,240.64,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,31,180.46,0,250.37,247.09,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,32,186.39,0,257.09,253.73,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,33,192.48,0,263.97,260.53,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,34,198.74,0,271.00,267.49,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,35,205.18,0,278.19,274.60,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,36,211.79,0,285.54,281.87,0.000000,0.278690,1000.00,cifi0007.DBF
HR2G,10HR2G,0,00,00,0,37,218.56,0,293.02,289.28,0.000000,0.278690,1000.00,cifi0007.DBF
