cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
HRWG,10HRWG,0,00,00,0,1,0.00,0,0.00,0.14,0.275900,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,2,0.00,0,3.54,3.57,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,3,0.00,0,7.22,7.18,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,4,0.00,0,11.02,10.92,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,5,0.03,0,14.94,14.78,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,6,3.02,38,19.00,18.77,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,7,6.12,75,23.18,22.89,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,8,9.34,110,27.48,27.13,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,9,12.70,144,31.92,31.50,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,10,16.17,178,36.50,36.01,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,11,19.78,210,41.21,40.65,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,12,23.52,240,46.05,45.43,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,13,27.37,270,51.03,50.34,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,14,31.34,298,56.11,55.37,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,15,35.38,325,61.28,60.49,3.598050,0.275900,1000.00,cifi0007.DBF
HRWG,10HRWG,0,00,00,0,16,39.46,350,66.49,65.68,3.598050,0.275900,1000.00,cifi0007.DBF
