cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
LPI2,10LPI2,0,00,00,0,1,0.00,0,,2.00,76.536810,4.000000,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,2,22.07,45,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,3,69.11,138,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,4,118.74,234,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,5,171.13,334,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,6,226.46,438,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,7,284.88,547,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,8,346.57,659,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,9,411.70,776,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,10,480.43,897,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,11,552.96,1023,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,12,629.44,1154,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,13,710.06,1291,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,14,794.98,1432,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,15,884.42,1580,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,16,978.63,1733,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,17,1077.86,1892,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,18,1182.42,2059,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,19,1292.66,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,20,1408.92,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,60,11347.33,0,,,,,13423.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,0,65,14604.25,0,,,,,16728.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,2,25.59,51,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,3,72.94,144,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,4,122.93,240,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,5,175.72,340,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,6,231.46,444,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,7,290.32,522,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,8,352.47,664,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,9,418.05,781,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,10,487.26,902,,,,,1466.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,11,560.24,1028,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,12,637.16,1158,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,13,718.18,1294,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,14,803.51,1435,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,15,893.37,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,16,988.02,1735,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,17,1087.75,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,18,1192.88,2060,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,19,1303.75,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,1,20,1420.71,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,2,26.02,52,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,3,73.82,145,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,4,124.30,241,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,5,177.61,341,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,6,233.90,445,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,7,293.34,553,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,8,256.06,665,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,9,422.25,782,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,10,492.05,903,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,11,565.61,1028,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,12,643.08,1159,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,13,724.67,1294,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,14,810.59,1435,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,15,901.07,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,16,996.40,1735,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,17,1096.89,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,18,1202.86,2060,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,19,1314.66,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,2,20,1432.63,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,2,26.41,52,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,3,74.69,145,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,4,125.67,241,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,5,179.51,342,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,6,236.36,446,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,7,296.36,554,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,8,359.67,666,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,9,426.43,782,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,10,496.79,903,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,11,570.88,1029,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,12,648.90,1159,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,13,731.05,1295,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,14,817.56,1436,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,15,908.69,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,16,1004.76,1735,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,17,1106.06,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,18,1212.92,2059,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,19,1325.69,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,3,20,1444.71,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,2,26.85,52,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,3,75.61,145,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,4,127.11,242,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,5,181.49,342,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,6,238.88,446,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,7,299.44,554,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,8,363.30,667,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,9,430.59,783,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,10,501.46,904,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,11,576.07,1029,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,12,654.62,1159,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,13,737.33,1295,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,14,824.46,1436,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,15,916.29,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,16,1013.13,1735,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,17,115.28,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,18,1223.08,2059,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,19,1336.85,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,4,20,1456.95,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,2,27.31,53,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,3,76.57,146,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,4,128.59,243,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,5,183.50,343,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,6,241.43,447,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,7,302.52,555,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,8,366.89,667,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,9,434.67,783,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,10,506.02,904,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,11,581.14,1029,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,12,660.23,1159,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,13,743.53,1295,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,14,831.32,1435,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,15,923.90,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,16,1021.55,1735,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,17,1124.60,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,18,1233.37,2059,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,19,1348.18,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,5,20,1469.38,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,2,27.78,53,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,3,77.55,147,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,4,130.08,243,,,,,1141.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,5,185.51,344,,,,,1193.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,6,243.95,448,,,,,1246.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,7,305.53,536,,,,,1302.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,8,370.36,668,,,,,1361.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,9,438.61,784,,,,,1422.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,10,510.44,904,,,,,1486.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,11,586.07,1029,,,,,1553.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,12,665.71,1159,,,,,1623.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,13,749.65,1294,,,,,1696.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,14,838.16,1435,,,,,1772.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,15,931.51,1582,,,,,1852.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,16,1030.03,1734,,,,,1935.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,17,1134.01,1894,,,,,2022.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,18,1243.77,2059,,,,,2113.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,19,1359.65,2232,,,,,2208.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,6,20,1481.98,0,,,,,2308.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,7,1,0.00,0,,,,,1000.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,7,2,28.27,54,,,,,1045.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,7,3,78.53,147,,,,,1092.00,cifi0007.DBF
LPI2,10LPI2,0,00,00,7,4,131.56,244,,,,,1141.00,cifi0007.DBF
