cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
P8FN,10P8FN,F,NS,00,0,1,0.00,0,0.00,1.39,0.000000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,2,0.00,0,0.00,2.43,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,3,0.00,0,0.00,4.56,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,4,0.00,0,0.00,6.82,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,5,0.00,0,0.00,9.18,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,6,0.00,0,0.00,11.66,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,7,0.00,0,0.00,14.26,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,8,0.00,0,0.00,16.98,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,9,0.00,0,0.00,19.83,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,10,1.92,35,0.00,22.81,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,11,4.16,73,0.00,25.93,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,12,6.51,110,0.00,29.17,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,13,8.94,145,0.00,32.52,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,14,11.46,179,0.00,35.98,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,15,14.07,211,0.00,39.54,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,16,16.76,243,0.00,43.20,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,17,19.56,273,0.00,46.97,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,18,22.46,301,0.00,50.87,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,19,25.47,329,0.00,54.88,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,20,28.61,356,0.00,59.04,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,21,31.88,382,0.00,63.33,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,22,35.31,407,0.00,67.79,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,23,38.90,432,0.00,72.41,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,24,42.66,456,0.00,77.21,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,25,46.58,478,0.00,82.18,2.810000,2.780000,1000.00,cifi0007.DBF
P8FN,10P8FN,F,NS,00,0,26,50.69,501,0.00,87.35,2.810000,2.780000,1000.00,cifi0007.DBF
