cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
P8FS,10P8FS,F,SM,00,0,1,0.00,0,0.00,1.39,0.000000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,2,0.00,0,0.00,2.81,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,3,0.00,0,0.00,5.33,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,4,0.00,0,0.00,7.99,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,5,0.00,0,0.00,10.78,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,6,0.00,0,0.00,13.70,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,7,0.00,0,0.00,16.75,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,8,0.30,6,0.00,19.95,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,9,2.75,45,0.00,23.30,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,10,5.34,84,0.00,26.80,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,11,8.07,122,0.00,30.45,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,12,10.92,158,0.00,34.25,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,13,13.90,193,0.00,38.18,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,14,16.99,227,0.00,42.24,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,15,20.19,259,0.00,46.44,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,16,23.41,289,0.00,50.71,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,17,26.76,318,0.00,55.07,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,18,30.22,346,0.00,59.56,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,19,33.81,373,0.00,64.18,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,20,37.55,399,0.00,68.96,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,21,41.45,423,0.00,73.90,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,22,45.53,448,0.00,79.01,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,23,49.80,471,0.00,84.32,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,24,54.26,494,0.00,89.83,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,25,58.91,515,0.00,95.53,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,26,63.78,536,0.00,101.44,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,27,68.86,557,0.00,107.56,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,28,74.16,576,0.00,113.90,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,29,79.69,595,0.00,120.47,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,30,85.46,613,0.00,127.26,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,31,91.46,631,0.00,134.28,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,32,97.72,648,0.00,141.54,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,33,104.23,664,0.00,149.04,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,34,111.02,680,0.00,156.79,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,35,118.07,695,0.00,164.80,3.180000,2.780000,1000.00,cifi0007.DBF
P8FS,10P8FS,F,SM,00,0,36,125.41,709,0.00,173.06,3.180000,2.780000,1000.00,cifi0007.DBF
