cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
P8MS,10P8MS,M,SM,00,0,1,0.00,0,0.00,2.01,0.000000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,2,0.00,0,0.00,3.59,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,3,0.00,0,0.00,6.84,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,4,0.00,0,0.00,10.26,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,5,0.00,0,0.00,13.84,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,6,0.00,0,0.00,17.61,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,7,0.68,10,0.00,21.58,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,8,3.91,51,0.00,25.76,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,9,7.34,91,0.00,30.16,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,10,10.97,131,0.00,34.77,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,11,14.79,169,0.00,39.57,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,12,18.76,206,0.00,44.57,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,13,22.86,241,0.00,49.70,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,14,27.03,274,0.00,54.95,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,15,31.26,304,0.00,60.26,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,16,35.22,331,0.00,65.49,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,17,39.17,356,0.00,70.60,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,18,43.16,379,0.00,75.73,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,19,47.25,402,0.00,80.95,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,20,51.46,424,0.00,86.29,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,21,55.84,445,0.00,91.79,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,22,60.44,466,0.00,97.49,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,23,65.30,486,0.00,103.44,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,24,70.45,507,0.00,109.66,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,25,75.92,527,0.00,116.20,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,26,81.75,547,0.00,123.06,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,27,87.93,567,0.00,130.27,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,28,94.45,586,0.00,137.82,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,29,101.33,605,0.00,145.70,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,30,108.55,623,0.00,153.91,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,31,116.11,640,0.00,162.45,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,32,124.00,657,0.00,171.30,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,33,132.25,674,0.00,180.47,4.050000,4.020000,1000.00,cifi0007.DBF
P8MS,10P8MS,M,SM,00,0,34,140.83,690,0.00,189.95,4.050000,4.020000,1000.00,cifi0007.DBF
