cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
P9MN,10P9MN,M,NS,00,0,1,0.00,0,0.00,0.47,0.000000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,2,0.00,0,0.00,2.31,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,3,0.00,0,0.00,4.51,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,4,0.00,0,0.00,6.95,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,5,0.00,0,0.00,9.58,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,6,0.00,0,0.00,12.34,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,7,0.00,0,0.00,15.21,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,8,1.10,24,0.00,18.19,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,9,3.33,69,0.00,21.29,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,10,5.67,111,0.00,24.52,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,11,8.13,152,0.00,27.87,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,12,10.72,192,0.00,31.36,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,13,13.43,230,0.00,34.99,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,14,16.28,266,0.00,38.76,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,15,19.03,298,0.00,42.57,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,16,21.78,328,0.00,46.35,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,17,24.55,356,0.00,50.15,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,18,27.34,381,0.00,53.99,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,19,30.21,406,0.00,57.90,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,20,33.21,429,0.00,61.93,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,21,36.35,453,0.00,66.11,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,22,39.65,475,0.00,70.46,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,23,43.12,497,0.00,74.98,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,24,46.76,518,0.00,79.69,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,25,50.57,539,0.00,84.58,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,26,54.57,558,0.00,89.66,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,27,58.74,578,0.00,94.93,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,28,63.07,596,0.00,100.37,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,29,67.64,614,0.00,106.03,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,30,72.46,631,0.00,111.93,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,31,77.54,648,0.00,118.09,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,32,82.88,664,0.00,124.51,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,33,88.50,680,0.00,131.20,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,34,94.38,696,0.00,138.15,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,35,100.55,710,0.00,145.37,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,36,106.99,724,0.00,152.86,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,37,113.72,738,0.00,160.62,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,38,120.75,751,0.00,168.65,2.540000,0.930000,1000.00,cifi0007.DBF
P9MN,10P9MN,M,NS,00,0,39,128.06,763,0.00,176.96,2.540000,0.930000,1000.00,cifi0007.DBF
