cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
Q2MN,10Q2MN,M,NS,00,20,1,0.00,0,0.00,0.47,0.932730,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,2,0.00,0,0.11,0.57,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,3,0.00,0,0.22,0.68,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,4,0.00,0,0.32,0.79,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,5,0.00,0,0.42,0.89,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,6,0.00,0,0.49,0.98,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,7,0.00,0,0.53,1.03,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,8,0.00,0,0.54,1.05,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,9,0.00,0,0.58,1.08,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,10,0.00,0,0.63,1.12,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,11,0.00,0,0.69,1.18,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,12,0.00,0,0.76,1.24,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,13,0.00,0,0.83,1.31,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,14,0.00,0,0.86,1.36,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,15,0.00,0,0.88,1.39,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,16,0.00,0,0.85,1.38,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,17,0.00,0,0.76,1.32,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,18,0.00,0,0.61,1.20,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,19,0.00,0,0.35,0.99,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,20,20,0.00,0,0.00,0.69,1.035810,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,1,0.00,0,0.00,0.47,0.932730,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,2,0.00,0,0.13,0.60,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,3,0.00,0,0.26,0.73,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,4,0.00,0,0.38,0.85,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,5,0.00,0,0.48,0.96,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,6,0.00,0,0.54,1.04,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,7,0.00,0,0.58,1.09,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,8,0.00,0,0.64,1.14,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,9,0.00,0,0.72,1.21,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,10,0.00,0,0.81,1.29,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,11,0.00,0,0.91,1.39,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,12,0.00,0,1.00,1.49,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,13,0.00,0,1.07,1.57,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,14,0.00,0,1.12,1.63,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,15,0.00,0,1.13,1.66,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,16,0.00,0,1.08,1.63,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,17,0.00,0,0.96,1.55,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,18,0.00,0,0.74,1.38,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,19,0.00,0,0.43,1.12,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,21,20,0.00,0,0.00,0.75,1.060270,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,1,0.00,0,0.00,0.47,0.932730,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,2,0.00,0,0.15,0.62,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,3,0.00,0,0.30,0.77,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,4,0.00,0,0.43,0.91,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,5,0.00,0,0.52,1.02,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,6,0.00,0,0.59,1.10,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,7,0.00,0,0.68,1.18,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,8,0.00,0,0.79,1.28,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,9,0.00,0,0.91,1.40,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,10,0.00,0,1.05,1.53,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,11,0.00,0,1.18,1.66,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,12,0.00,0,1.29,1.78,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,13,0.00,0,1.38,1.88,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,14,0.00,0,1.43,1.95,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,15,0.00,0,1.42,1.97,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,16,0.00,0,1.34,1.93,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,17,0.00,0,1.17,1.80,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,18,0.00,0,0.91,1.59,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,19,0.00,0,0.53,1.27,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,22,20,0.00,0,0.00,0.81,1.090350,0.932730,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,1,0.00,0,0.00,0.47,0.942540,0.942540,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,2,0.00,0,0.18,0.65,1.126580,0.942540,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,3,0.00,0,0.34,0.82,1.126580,0.942540,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,4,0.00,0,0.46,0.96,1.126580,0.942540,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,5,0.00,0,0.57,1.08,1.126580,0.942540,1000.00,cifi0007.DBF
Q2MN,10Q2MN,M,NS,00,23,6,0.00,0,0.70,1.20,1.126580,0.942540,1000.00,cifi0007.DBF
