cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
Q3FS,10Q3FS,F,SM,00,20,1,0.00,0,0.00,0.29,0.579970,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,2,0.00,0,0.99,1.29,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,3,0.00,0,1.99,2.28,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,4,0.00,0,3.00,3.29,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,5,0.00,0,4.00,4.29,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,6,0.00,0,4.97,5.28,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,7,0.00,0,5.93,6.24,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,8,0.00,0,6.87,7.19,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,9,0.00,0,7.79,8.12,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,10,0.00,0,8.68,9.02,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,11,0.00,0,9.54,9.90,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,12,0.00,0,10.35,10.73,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,13,0.00,0,11.11,11.52,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,14,0.00,0,11.80,12.24,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,15,0.00,0,12.38,12.88,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,16,0.00,0,12.85,13.40,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,17,0.00,0,13.20,13.81,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,18,0.00,0,13.46,14.12,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,19,0.00,0,13.62,14.33,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,20,0.00,0,13.67,14.43,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,21,0.00,0,13.58,14.41,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,22,0.00,0,13.34,14.25,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,23,0.00,0,12.90,13.91,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,24,0.00,0,12.23,13.36,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,25,0.00,0,11.29,12.55,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,26,0.00,0,10.01,11.44,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,27,0.00,0,8.34,9.97,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,28,0.00,0,6.19,8.06,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,29,0.00,0,3.43,5.60,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,20,30,0.00,0,0.00,2.51,1.579400,0.579970,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,1,0.00,0,0.00,0.31,0.619290,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,2,0.00,0,1.10,1.41,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,3,0.00,0,2.21,2.51,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,4,0.00,0,3.32,3.62,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,5,0.00,0,4.41,4.72,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,6,0.00,0,5.49,5.80,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,7,0.00,0,6.55,6.88,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,8,0.00,0,7.59,7.93,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,9,0.00,0,8.61,8.96,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,10,0.00,0,9.61,9.97,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,11,0.00,0,10.56,10.94,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,12,0.00,0,11.46,11.87,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,13,0.00,0,12.30,12.74,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,14,0.00,0,13.04,13.53,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,15,0.00,0,13.67,14.21,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,16,0.00,0,14.20,14.79,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,17,0.00,0,14.63,15.27,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,18,0.00,0,14.97,15.66,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,19,0.00,0,15.20,15.94,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,20,0.00,0,15.31,16.11,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,21,0.00,0,15.27,16.15,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,22,0.00,0,15.04,16.02,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,23,0.00,0,14.60,15.68,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,24,0.00,0,13.88,15.09,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,25,0.00,0,12.84,14.22,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,26,0.00,0,11.42,12.99,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,27,0.00,0,9.52,11.33,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,28,0.00,0,7.04,9.14,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,29,0.00,0,3.89,6.32,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,21,30,0.00,0,0.00,2.80,1.712420,0.619290,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,1,0.00,0,0.00,0.32,0.648780,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,2,0.00,0,1.23,1.54,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,3,0.00,0,2.45,2.77,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,4,0.00,0,3.66,3.99,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,5,0.00,0,4.87,5.20,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,6,0.00,0,6.07,6.40,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,7,0.00,0,7.24,7.59,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,8,0.00,0,8.40,8.75,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,9,0.00,0,9.55,9.91,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,10,0.00,0,10.65,11.03,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,11,0.00,0,11.71,12.11,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,12,0.00,0,12.71,13.14,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,13,0.00,0,13.62,14.09,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,14,0.00,0,14.42,14.95,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,15,0.00,0,15.13,15.71,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,16,0.00,0,15.75,16.37,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,17,0.00,0,16.29,16.95,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,18,0.00,0,16.73,17.44,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,19,0.00,0,17.05,17.82,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,20,0.00,0,17.23,18.07,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,21,0.00,0,17.23,18.16,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,22,0.00,0,17.02,18.05,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,23,0.00,0,16.54,17.71,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,24,0.00,0,15.76,17.09,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,25,0.00,0,14.61,16.12,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,26,0.00,0,12.99,14.73,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,27,0.00,0,10.80,12.83,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,28,0.00,0,7.96,10.31,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,29,0.00,0,4.39,7.11,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,22,30,0.00,0,0.00,3.13,1.861100,0.648780,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,23,1,0.00,0,0.00,0.34,0.678270,0.678270,1000.00,cifi0007.DBF
Q3FS,10Q3FS,F,SM,00,23,2,0.00,0,1.36,1.69,2.026880,0.678270,1000.00,cifi0007.DBF
