cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
Q3MS,10Q3MS,M,SM,00,20,1,0.00,0,0.00,0.64,1.277890,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,2,0.00,0,1.09,1.74,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,3,0.00,0,2.14,2.81,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,4,0.00,0,3.17,3.85,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,5,0.00,0,4.15,4.85,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,6,0.00,0,5.07,5.81,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,7,0.00,0,5.94,6.70,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,8,0.00,0,6.79,7.56,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,9,0.00,0,7.66,8.42,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,10,0.00,0,8.57,9.31,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,11,0.00,0,9.53,10.25,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,12,0.00,0,10.51,11.22,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,13,0.00,0,11.50,12.20,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,14,0.00,0,12.46,13.18,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,15,0.00,0,13.39,14.12,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,16,0.00,0,14.28,15.03,2.386880,1.277890,1000.00,cifi0007.DBF
Q3MS,10Q3MS,M,SM,00,20,17,0.00,0,15.07,15.87,2.386880,1.277890,1000.00,cifi0007.DBF
