cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
QLFS,10QLFS,F,SM,00,18,1,0.00,0,0.00,0.25,0.501330,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,2,0.00,0,4.29,4.49,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,3,0.00,0,8.70,8.84,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,4,0.00,0,13.23,13.31,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,5,2.92,33,17.89,17.91,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,6,6.77,74,22.69,22.64,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,7,10.76,113,27.62,27.50,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,8,14.87,150,32.66,32.49,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,9,19.12,186,37.84,37.60,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,10,23.51,220,43.15,42.84,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,11,28.05,253,48.60,48.22,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,12,32.74,285,54.19,53.74,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,13,37.59,316,59.92,59.40,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,14,42.58,345,65.78,65.19,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,15,47.73,373,71.77,71.12,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,16,53.03,400,77.89,77.18,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,17,58.44,426,84.11,83.35,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,18,63.99,450,90.44,89.62,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,19,69.67,474,96.88,96.00,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,20,75.52,496,103.45,102.51,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,21,81.54,518,110.17,109.16,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,22,87.73,539,117.03,115.95,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,23,94.10,559,124.03,122.87,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,24,100.64,579,131.15,129.93,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,25,107.31,597,138.37,137.11,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,26,114.12,615,145.68,144.38,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,27,121.03,632,153.06,151.72,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,28,128.02,648,160.46,159.10,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,29,135.06,664,167.86,166.51,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,30,142.07,678,175.19,173.87,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,31,149.01,692,182.38,181.13,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,32,155.81,705,189.40,188.24,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,33,162.45,717,196.21,195.15,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,34,168.88,728,202.75,201.83,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,35,175.05,739,208.99,208.22,4.692800,0.501330,1000.00,cifi0007.DBF
QLFS,10QLFS,F,SM,00,18,36,180.91,749,214.87,214.28,4.692800,0.501330,1000.00,cifi0007.DBF
