cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
QLMS,10QLMS,M,SM,00,18,1,0.00,0,0.00,0.56,1.120610,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,2,0.00,0,4.62,5.14,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,3,0.00,0,9.33,9.81,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,4,0.00,0,14.16,14.58,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,5,3.17,30,19.09,19.46,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,6,7.23,66,24.13,24.44,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,7,11.40,101,29.28,29.54,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,8,15.68,134,34.53,34.74,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,9,20.06,166,39.88,40.04,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,10,24.61,198,45.38,45.46,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,11,29.36,228,51.07,51.06,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,12,34.33,258,56.98,56.86,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,13,39.56,288,63.12,62.89,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,14,45.02,317,69.48,69.14,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,15,50.70,345,76.05,75.60,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,16,56.60,373,82.80,82.25,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,17,62.70,399,89.73,89.09,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,18,69.02,425,96.85,96.12,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,19,75.53,450,104.12,103.31,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,20,82.22,474,111.53,110.66,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,21,89.06,497,119.07,118.14,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,22,96.06,519,126.73,125.73,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,23,103.19,540,134.46,133.43,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,24,110.41,560,142.25,141.19,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,25,117.69,579,150.05,148.98,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,26,124.98,597,157.81,156.76,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,27,132.25,614,165.50,164.49,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,28,139.49,630,173.12,172.15,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,29,146.72,645,180.68,179.73,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,30,154.00,660,188.23,187.29,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,31,161.42,674,195.86,194.88,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,32,168.91,688,203.51,202.52,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,33,176.40,701,211.09,210.13,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,34,183.78,714,218.50,217.63,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,35,190.94,726,225.64,224.91,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,36,197.77,737,232.39,231.85,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,37,204.11,747,238.59,238.32,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,38,209.91,757,244.20,244.23,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,39,215.11,765,249.16,249.52,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,40,219.76,773,253.53,254.18,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,41,223.87,781,257.31,258.25,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,42,227.28,788,260.36,261.67,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,43,229.74,794,262.42,264.22,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,44,230.92,799,263.19,265.63,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,45,230.55,803,262.39,265.62,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,46,228.38,806,259.82,263.94,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,47,224.28,404,255.34,260.41,5.665410,1.120610,1000.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,48,232.37,409,263.35,262.18,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,49,240.50,414,271.36,270.19,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,50,248.70,419,279.39,278.21,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,51,257.00,423,287.48,286.27,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,52,265.40,427,295.62,294.38,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,53,273.86,432,303.77,302.53,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,54,282.29,436,311.86,310.65,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,55,290.63,439,319.83,318.68,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,56,298.94,443,327.73,326.61,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,57,307.22,446,335.56,334.48,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,58,315.43,450,343.29,342.26,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,59,323.57,453,350.92,349.94,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,60,331.55,456,358.37,357.48,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,61,339.32,458,365.60,364.82,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,62,346.85,461,372.56,371.91,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,63,354.09,464,379.25,378.74,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,64,361.08,466,385.68,385.30,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,65,367.86,468,391.89,391.62,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,66,374.44,470,397.90,397.73,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,67,380.77,472,403.66,403.61,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,68,386.75,474,409.08,409.20,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,69,392.34,475,414.14,414.44,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,70,397.51,477,418.81,419.31,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,71,402.27,478,423.09,423.78,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,72,406.60,479,426.98,427.87,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,73,410.59,480,430.57,431.61,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,74,414.37,481,433.96,435.10,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,75,417.95,482,437.16,438.39,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,76,421.34,483,440.18,441.50,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,77,424.48,484,442.98,444.41,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,78,427.40,485,445.58,447.11,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,79,430.20,485,448.06,449.65,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,80,432.85,486,450.42,452.07,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,81,435.32,487,452.60,454.34,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,82,437.52,487,454.55,456.41,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,83,439.52,488,456.32,458.27,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,84,441.52,488,458.08,460.03,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,85,443.54,488,459.87,461.81,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,86,445.65,489,461.72,463.63,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,87,447.81,489,463.63,465.51,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,88,449.93,490,465.48,467.39,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,89,451.99,490,467.29,469.22,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,90,453.99,491,469.04,471.00,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,91,455.94,491,470.75,472.73,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,92,457.82,492,472.39,474.40,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,93,459.65,492,473.98,476.02,5.665410,1.120610,500.00,cifi0007.DBF
QLMS,10QLMS,M,SM,00,18,94,461.41,493,475.52,477.59,5.665410,1.120610,500.00,cifi0007.DBF
