cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
R28A,10R28A,0,00,00,0,1,0.00,0,0.00,2.01,4.020000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,2,0.00,0,5.44,5.85,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,3,0.00,0,11.19,11.45,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,4,0.00,0,17.19,17.32,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,5,0.00,0,23.45,23.45,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,6,0.00,0,30.03,29.87,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,7,0.00,0,36.91,36.60,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,8,0.00,0,44.13,43.65,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,9,0.00,0,51.68,51.03,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,10,0.00,0,59.56,58.75,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,11,0.00,0,67.77,66.80,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,12,0.00,0,76.28,75.16,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,13,0.00,0,85.06,83.80,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,14,0.00,0,94.08,92.70,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,15,0.00,0,103.32,101.83,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,16,0.00,0,112.78,111.18,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,17,0.00,0,122.47,120.76,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,18,0.00,0,132.43,130.58,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,19,0.00,0,142.71,140.70,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,20,0.00,0,153.36,151.16,6.260000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,21,0.00,0,157.89,155.62,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,22,0.00,0,162.61,160.25,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,23,0.00,0,167.54,165.07,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,24,0.00,0,172.70,170.12,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,25,0.00,0,178.11,175.41,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,26,0.00,0,183.79,180.95,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,27,0.00,0,189.74,186.77,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,28,0.00,0,195.96,192.85,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,29,0.00,0,202.44,199.20,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,30,0.00,0,209.19,205.81,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,31,0.00,0,216.20,212.69,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,32,0.00,0,223.46,219.83,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,33,0.00,0,230.99,227.23,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,34,0.00,0,238.78,234.89,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,35,0.00,0,246.82,242.80,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,36,0.00,0,255.13,250.98,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,37,0.00,0,263.68,259.40,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,38,0.00,0,272.48,268.08,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,39,0.00,0,281.53,277.01,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,40,0.00,0,290.81,286.17,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,41,0.00,0,300.33,295.57,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,42,0.00,0,310.07,305.20,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,43,0.00,0,320.05,315.06,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,44,0.00,0,330.27,325.16,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,45,0.00,0,340.71,335.49,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,46,0.00,0,351.39,346.05,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,47,0.00,0,362.31,356.85,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,48,0.00,0,373.47,367.89,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,49,0.00,0,384.88,379.17,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,50,0.00,0,396.52,390.70,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,51,0.00,0,408.42,402.47,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,52,0.00,0,420.52,414.47,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,53,0.00,0,432.83,426.68,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,54,0.00,0,445.31,439.07,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,55,0.00,0,457.94,451.62,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,56,0.00,0,470.72,464.33,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,57,0.00,0,483.63,477.17,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,58,0.00,0,496.69,490.16,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,59,0.00,0,509.89,503.29,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,60,0.00,0,523.25,516.57,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,61,0.00,0,536.73,529.99,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,62,0.00,0,550.31,543.52,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,63,0.00,0,563.95,557.13,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,64,0.00,0,577.62,570.78,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,65,0.00,0,591.26,584.44,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,66,0.00,0,604.87,598.07,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,67,0.00,0,618.44,611.65,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,68,0.00,0,631.97,625.20,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,69,0.00,0,645.48,638.73,0.000000,4.020000,1000.00,cifi0007.DBF
R28A,10R28A,0,00,00,0,70,0.00,0,658.97,652.23,0.000000,4.020000,1000.00,cifi0007.DBF
