cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
R68,10R68,0,00,00,0,1,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,2,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,3,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,4,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,5,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,6,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,7,2.00,25,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,8,5.00,60,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,9,8.00,93,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,10,12.00,134,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,11,16.00,172,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,12,20.00,208,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,13,24.00,240,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,14,28.00,270,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,15,32.00,298,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,16,36.00,325,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,17,40.00,349,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,18,44.00,372,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,19,49.00,402,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,20,53.00,421,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,60,471.00,967,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,0,65,558.00,****,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,1,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,2,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,3,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,4,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,5,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,6,2.00,25,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,7,6.00,72,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,8,9.00,105,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,9,13.00,145,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,10,17.00,183,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,11,20.00,208,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,12,24.00,240,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,13,29.00,280,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,14,33.00,308,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,15,37.00,334,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,16,41.00,358,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,17,45.00,381,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,18,49.00,402,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,19,54.00,429,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,20,58.00,446,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,60,471.00,967,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,1,65,558.00,****,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,1,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,2,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,3,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,4,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,5,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,6,3.00,36,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,7,7.00,81,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,8,10.00,112,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,9,14.00,151,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,10,18.00,187,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,11,22.00,220,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,12,26.00,251,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,13,30.00,280,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,14,35.00,316,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,15,39.00,340,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,16,43.00,364,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,17,47.00,385,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,18,52.00,413,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,19,56.00,431,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,20,61.00,455,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,60,470.00,965,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,2,65,558.00,****,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,1,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,2,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,3,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,4,0.00,0,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,5,1.00,12,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,6,4.00,47,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,7,8.00,90,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,8,12.00,129,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,9,16.00,166,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,10,20.00,200,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,11,24.00,232,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,12,28.00,261,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,13,32.00,289,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,14,36.00,314,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,15,41.00,347,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,16,45.00,369,,,,,0.00,cifi0007.DBF
R68,10R68,0,00,00,3,17,49.00,389,,,,,0.00,cifi0007.DBF
