cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
R69G,10R69G,0,00,00,0,1,0.00,0,0.00,0.47,0.930000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,2,0.00,0,0.00,2.49,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,3,0.00,0,0.00,4.89,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,4,0.00,0,0.00,7.53,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,5,0.00,0,0.00,10.36,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,6,2.26,30,0.00,13.34,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,7,5.46,70,0.00,16.43,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,8,8.80,108,0.00,19.64,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,9,12.26,145,0.00,22.98,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,10,15.87,181,0.00,26.46,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,11,19.62,215,0.00,30.08,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,12,23.53,248,0.00,33.84,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,13,27.58,281,0.00,37.75,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,14,31.81,312,0.00,41.82,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,15,35.96,340,0.00,45.93,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,16,40.15,367,0.00,50.03,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,17,44.38,392,0.00,54.16,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,18,48.66,416,0.00,58.34,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,19,53.05,439,0.00,62.59,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,20,57.58,461,0.00,66.97,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,21,62.28,483,0.00,71.50,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,22,67.17,504,0.00,76.21,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,23,72.24,525,0.00,81.10,2.720000,0.930000,1000.00,cifi0007.DBF
R69G,10R69G,0,00,00,0,24,77.52,545,0.00,86.17,2.720000,0.930000,1000.00,cifi0007.DBF
