cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
RW18,10RW18,0,00,00,0,1,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,2,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,3,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,4,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,5,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,6,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,7,1.00,13,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,8,4.00,48,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,9,7.00,81,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,10,11.00,123,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,11,15.00,162,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,12,18.00,187,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,13,22.00,220,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,14,26.00,251,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,15,30.00,280,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,16,34.00,307,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,17,38.00,332,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,18,42.00,355,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,19,46.00,377,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,20,50.00,397,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,60,443.00,910,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,0,65,520.00,933,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,1,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,2,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,3,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,4,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,5,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,6,2.00,25,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,7,5.00,60,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,8,8.00,93,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,9,12.00,134,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,10,16.00,172,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,11,19.00,197,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,12,23.00,230,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,13,27.00,261,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,14,31.00,289,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,15,35.00,316,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,16,39.00,340,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,17,43.00,364,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,18,47.00,385,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,19,51.00,405,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,20,56.00,431,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,60,444.00,912,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,1,65,520.00,933,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,1,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,2,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,3,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,4,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,5,0.00,0,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,6,3.00,36,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,7,6.00,70,,,,,0.00,cifi0007.DBF
RW18,10RW18,0,00,00,2,8,10.00,112,,,,,0.00,cifi0007.DBF
