cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
RW8A,10RW8A,0,00,00,0,1,0.00,0,0.00,2.01,4.020000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,2,0.00,0,2.64,3.11,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,3,0.00,0,5.47,5.84,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,4,0.00,0,8.43,8.73,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,5,0.00,0,11.54,11.77,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,6,0.00,0,14.82,14.96,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,7,0.00,0,18.28,18.33,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,8,0.00,0,21.94,21.89,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,9,0.00,0,25.78,25.64,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,10,0.00,0,29.80,29.58,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,11,0.00,0,34.00,33.69,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,12,0.00,0,38.33,37.95,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,13,0.00,0,42.76,42.33,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,14,0.00,0,47.24,46.78,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,15,0.00,0,51.74,51.27,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,16,0.00,0,56.27,55.79,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,17,0.00,0,60.81,60.32,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,18,0.00,0,65.39,64.88,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,19,0.00,0,70.06,69.51,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,20,0.00,0,74.85,74.24,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,21,0.00,0,79.80,79.11,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,22,0.00,0,84.96,84.16,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,23,0.00,0,90.34,89.43,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,24,0.00,0,95.99,94.95,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,25,0.00,0,101.90,100.73,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,26,0.00,0,108.11,106.79,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,27,0.00,0,114.61,113.14,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,28,0.00,0,121.40,119.79,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,29,0.00,0,128.48,126.72,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,30,0.00,0,135.85,133.95,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,31,0.00,0,143.52,141.47,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,32,0.00,0,151.45,149.27,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,33,0.00,0,159.68,157.35,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,34,0.00,0,168.19,165.72,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,35,0.00,0,176.98,174.37,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,36,0.00,0,186.05,183.30,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,37,0.00,0,195.40,192.51,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,38,0.00,0,205.02,202.00,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,39,0.00,0,214.90,211.75,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,40,0.00,0,225.05,221.76,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,41,0.00,0,235.45,232.03,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,42,0.00,0,246.10,242.56,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,43,0.00,0,257.00,253.33,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,44,0.00,0,268.16,264.37,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,45,0.00,0,279.58,275.65,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,46,0.00,0,291.25,287.20,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,47,0.00,0,303.18,299.00,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,48,0.00,0,315.37,311.06,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,49,0.00,0,327.84,323.39,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,50,0.00,0,340.56,335.98,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,51,0.00,0,353.56,348.84,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,52,0.00,0,366.79,361.96,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,53,0.00,0,380.23,375.29,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,54,0.00,0,393.87,388.84,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,55,0.00,0,407.67,402.56,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,56,0.00,0,421.64,416.44,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,57,0.00,0,435.74,430.47,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,58,0.00,0,450.01,444.66,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,59,0.00,0,464.44,459.01,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,60,0.00,0,479.04,473.52,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,61,0.00,0,493.77,488.19,3.570000,4.020000,1000.00,cifi0007.DBF
RW8A,10RW8A,0,00,00,0,62,0.00,0,508.61,502.97,3.570000,4.020000,1000.00,cifi0007.DBF
