cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
RW9G,10RW9G,0,00,00,0,1,0.00,0,0.00,0.47,0.930000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,2,0.00,0,0.00,2.40,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,3,0.00,0,0.00,4.70,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,4,0.00,0,0.00,7.23,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,5,0.00,0,0.00,9.96,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,6,1.65,22,0.00,12.83,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,7,4.72,60,0.00,15.81,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,8,7.91,97,0.00,18.90,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,9,11.22,133,0.00,22.12,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,10,14.68,167,0.00,25.47,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,11,18.27,200,0.00,28.95,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,12,22.01,232,0.00,32.58,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,13,25.89,263,0.00,36.34,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,14,29.94,293,0.00,40.26,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,15,33.90,321,0.00,44.22,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,16,37.89,346,0.00,48.15,2.620000,0.930000,1000.00,cifi0007.DBF
RW9G,10RW9G,0,00,00,0,17,41.92,370,0.00,52.12,2.620000,0.930000,1000.00,cifi0007.DBF
