cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
TAFA,10TAFA,0,00,00,15,1,0.00,0,0.00,0.47,0.930000,0.930000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,15,2,0.00,0,0.00,0.47,0.930000,0.930000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,15,3,0.00,0,0.00,0.47,0.930000,0.930000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,15,4,0.00,0,0.00,0.47,0.930000,0.930000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,15,5,0.00,0,0.00,0.47,0.930000,0.930000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,16,1,0.00,0,0.00,0.51,1.020000,1.020000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,16,2,0.00,0,0.00,0.51,1.020000,1.020000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,16,3,0.00,0,0.00,0.51,1.020000,1.020000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,16,4,0.00,0,0.00,0.51,1.020000,1.020000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,16,5,0.00,0,0.00,0.51,1.020000,1.020000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,17,1,0.00,0,0.00,0.54,1.080000,1.080000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,17,2,0.00,0,0.00,0.54,1.080000,1.080000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,17,3,0.00,0,0.00,0.54,1.080000,1.080000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,17,4,0.00,0,0.00,0.54,1.080000,1.080000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,17,5,0.00,0,0.00,0.54,1.080000,1.080000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,18,1,0.00,0,0.00,0.56,1.120000,1.120000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,18,2,0.00,0,0.00,0.56,1.120000,1.120000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,18,3,0.00,0,0.00,0.56,1.120000,1.120000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,18,4,0.00,0,0.00,0.56,1.120000,1.120000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,18,5,0.00,0,0.00,0.56,1.120000,1.120000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,19,1,0.00,0,0.00,0.58,1.150000,1.150000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,19,2,0.00,0,0.00,0.58,1.150000,1.150000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,19,3,0.00,0,0.00,0.58,1.150000,1.150000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,19,4,0.00,0,0.00,0.58,1.150000,1.150000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,19,5,0.00,0,0.00,0.58,1.150000,1.150000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,20,1,0.00,0,0.00,0.58,1.150000,1.150000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,20,2,0.00,0,0.00,0.58,1.150000,1.150000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,20,3,0.00,0,0.00,0.58,1.150000,1.150000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,20,4,0.00,0,0.00,0.58,1.150000,1.150000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,20,5,0.00,0,0.00,0.58,1.150000,1.150000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,21,1,0.00,0,0.00,0.57,1.140000,1.140000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,21,2,0.00,0,0.00,0.57,1.140000,1.140000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,21,3,0.00,0,0.00,0.57,1.140000,1.140000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,21,4,0.00,0,0.00,0.57,1.140000,1.140000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,21,5,0.00,0,0.00,0.57,1.140000,1.140000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,22,1,0.00,0,0.00,0.56,1.120000,1.120000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,22,2,0.00,0,0.00,0.56,1.120000,1.120000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,22,3,0.00,0,0.00,0.56,1.120000,1.120000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,22,4,0.00,0,0.00,0.56,1.120000,1.120000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,22,5,0.00,0,0.00,0.56,1.120000,1.120000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,23,1,0.00,0,0.00,0.55,1.100000,1.100000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,23,2,0.00,0,0.00,0.55,1.100000,1.100000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,23,3,0.00,0,0.00,0.55,1.100000,1.100000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,23,4,0.00,0,0.00,0.55,1.100000,1.100000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,23,5,0.00,0,0.00,0.55,1.100000,1.100000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,24,1,0.00,0,0.00,0.54,1.080000,1.080000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,24,2,0.00,0,0.00,0.54,1.080000,1.080000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,24,3,0.00,0,0.00,0.54,1.080000,1.080000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,24,4,0.00,0,0.00,0.54,1.080000,1.080000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,24,5,0.00,0,0.00,0.54,1.080000,1.080000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,25,1,0.00,0,0.00,0.53,1.060000,1.060000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,25,2,0.00,0,0.00,0.53,1.060000,1.060000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,25,3,0.00,0,0.00,0.53,1.060000,1.060000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,25,4,0.00,0,0.00,0.53,1.060000,1.060000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,25,5,0.00,0,0.00,0.53,1.060000,1.060000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,26,1,0.00,0,0.00,0.52,1.040000,1.040000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,26,2,0.00,0,0.00,0.52,1.040000,1.040000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,26,3,0.00,0,0.00,0.52,1.040000,1.040000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,26,4,0.00,0,0.00,0.52,1.040000,1.040000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,26,5,0.00,0,0.00,0.52,1.040000,1.040000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,27,1,0.00,0,0.00,0.52,1.040000,1.040000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,27,2,0.00,0,0.00,0.52,1.040000,1.040000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,27,3,0.00,0,0.00,0.52,1.040000,1.040000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,27,4,0.00,0,0.00,0.52,1.040000,1.040000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,27,5,0.00,0,0.00,0.52,1.040000,1.040000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,28,1,0.00,0,0.00,0.53,1.050000,1.050000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,28,2,0.00,0,0.00,0.53,1.050000,1.050000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,28,3,0.00,0,0.00,0.53,1.050000,1.050000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,28,4,0.00,0,0.00,0.53,1.050000,1.050000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,28,5,0.00,0,0.00,0.53,1.050000,1.050000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,29,1,0.00,0,0.00,0.54,1.070000,1.070000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,29,2,0.00,0,0.00,0.54,1.070000,1.070000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,29,3,0.00,0,0.00,0.54,1.070000,1.070000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,29,4,0.00,0,0.00,0.54,1.070000,1.070000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,29,5,0.00,0,0.00,0.54,1.070000,1.070000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,30,1,0.00,0,0.00,0.55,1.100000,1.100000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,30,2,0.00,0,0.00,0.55,1.100000,1.100000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,30,3,0.00,0,0.00,0.55,1.100000,1.100000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,30,4,0.00,0,0.00,0.55,1.100000,1.100000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,30,5,0.00,0,0.00,0.55,1.100000,1.100000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,31,1,0.00,0,0.00,0.57,1.140000,1.140000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,31,2,0.00,0,0.00,0.57,1.140000,1.140000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,31,3,0.00,0,0.00,0.57,1.140000,1.140000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,31,4,0.00,0,0.00,0.57,1.140000,1.140000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,31,5,0.00,0,0.00,0.57,1.140000,1.140000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,32,1,0.00,0,0.00,0.59,1.180000,1.180000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,32,2,0.00,0,0.00,0.59,1.180000,1.180000,818.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,32,3,0.00,0,0.00,0.59,1.180000,1.180000,627.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,32,4,0.00,0,0.00,0.59,1.180000,1.180000,427.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,32,5,0.00,0,0.00,0.59,1.180000,1.180000,218.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,33,1,0.00,0,0.00,0.63,1.250000,1.250000,1000.00,cifi0007.DBF
TAFA,10TAFA,0,00,00,33,2,0.00,0,0.00,0.63,1.250000,1.250000,818.00,cifi0007.DBF
