cfic_plan,ql_plan,gender,uwclass,band,issue_age,policy_year,cash_value,pup_ins,term_rsv,mean_rsv,rl_netprem,fy_netprem,death_ben,source_file
TAFC,10TAFC,0,00,00,15,1,0.00,0,0.00,0.53,1.050000,1.050000,1000.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,2,0.00,0,0.00,0.53,1.050000,1.050000,952.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,3,0.00,0,0.00,0.53,1.050000,1.050000,902.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,4,0.00,0,0.00,0.53,1.050000,1.050000,850.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,5,0.00,0,0.00,0.53,1.050000,1.050000,795.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,6,0.00,0,0.00,0.53,1.050000,1.050000,737.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,7,0.00,0,0.00,0.53,1.050000,1.050000,677.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,8,0.00,0,0.00,0.53,1.050000,1.050000,615.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,9,0.00,0,0.00,0.53,1.050000,1.050000,549.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,10,0.00,0,0.00,0.53,1.050000,1.050000,481.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,11,0.00,0,0.00,0.53,1.050000,1.050000,409.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,12,0.00,0,0.00,0.53,1.050000,1.050000,335.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,13,0.00,0,0.00,0.53,1.050000,1.050000,256.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,14,0.00,0,0.00,0.53,1.050000,1.050000,175.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,15,15,0.00,0,0.00,0.53,1.050000,1.050000,90.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,1,0.00,0,0.00,0.55,1.090000,1.090000,1000.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,2,0.00,0,0.00,0.55,1.090000,1.090000,952.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,3,0.00,0,0.00,0.55,1.090000,1.090000,902.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,4,0.00,0,0.00,0.55,1.090000,1.090000,850.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,5,0.00,0,0.00,0.55,1.090000,1.090000,795.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,6,0.00,0,0.00,0.55,1.090000,1.090000,737.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,7,0.00,0,0.00,0.55,1.090000,1.090000,677.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,8,0.00,0,0.00,0.55,1.090000,1.090000,615.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,9,0.00,0,0.00,0.55,1.090000,1.090000,549.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,10,0.00,0,0.00,0.55,1.090000,1.090000,481.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,11,0.00,0,0.00,0.55,1.090000,1.090000,409.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,12,0.00,0,0.00,0.55,1.090000,1.090000,335.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,13,0.00,0,0.00,0.55,1.090000,1.090000,256.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,14,0.00,0,0.00,0.55,1.090000,1.090000,175.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,16,15,0.00,0,0.00,0.55,1.090000,1.090000,90.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,1,0.00,0,0.00,0.55,1.110000,1.110000,1000.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,2,0.00,0,0.00,0.55,1.110000,1.110000,952.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,3,0.00,0,0.00,0.55,1.110000,1.110000,902.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,4,0.00,0,0.00,0.55,1.110000,1.110000,850.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,5,0.00,0,0.00,0.55,1.110000,1.110000,795.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,6,0.00,0,0.00,0.55,1.110000,1.110000,737.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,7,0.00,0,0.00,0.55,1.110000,1.110000,677.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,8,0.00,0,0.00,0.55,1.110000,1.110000,615.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,9,0.00,0,0.00,0.55,1.110000,1.110000,549.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,10,0.00,0,0.00,0.55,1.110000,1.110000,481.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,11,0.00,0,0.00,0.55,1.110000,1.110000,409.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,12,0.00,0,0.00,0.55,1.110000,1.110000,335.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,13,0.00,0,0.00,0.55,1.110000,1.110000,256.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,14,0.00,0,0.00,0.55,1.110000,1.110000,175.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,17,15,0.00,0,0.00,0.55,1.110000,1.110000,90.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,1,0.00,0,0.00,0.56,1.120000,1.120000,1000.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,2,0.00,0,0.00,0.56,1.120000,1.120000,952.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,3,0.00,0,0.00,0.56,1.120000,1.120000,902.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,4,0.00,0,0.00,0.56,1.120000,1.120000,850.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,5,0.00,0,0.00,0.56,1.120000,1.120000,795.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,6,0.00,0,0.00,0.56,1.120000,1.120000,737.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,7,0.00,0,0.00,0.56,1.120000,1.120000,677.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,8,0.00,0,0.00,0.56,1.120000,1.120000,615.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,9,0.00,0,0.00,0.56,1.120000,1.120000,549.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,10,0.00,0,0.00,0.56,1.120000,1.120000,481.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,11,0.00,0,0.00,0.56,1.120000,1.120000,409.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,12,0.00,0,0.00,0.56,1.120000,1.120000,335.00,cifi0007.DBF
TAFC,10TAFC,0,00,00,18,13,0.00,0,0.00,0.56,1.120000,1.120000,256.00,cifi0007.DBF
