PLAN,AGE,CNTL,CV0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
10.822,99,01,,,491.65,,,,,,,,0,00,00,0000,00,19000101
9057G,01,06,,,,,,,.00,,,,0,00,00,0000,00,19000101
9057G,03,06,,,,,.00,.00,.00,,,,0,00,00,0000,00,19000101
9057G,05,06,,,,.00,.00,,,,,,0,00,00,0000,00,19000101
9057G,06,06,,,,.00,,,,,,,0,00,00,0000,00,19000101
9057G,08,05,,,,,,,,,,.00,0,00,00,0000,00,19000101
9057G,10,05,,,,,,,,,.00,,0,00,00,0000,00,19000101
9057G,26,04,,.00,,,,,,,,,0,00,00,0000,00,19000101
9057G,27,03,,,,,,,,,.00,,0,00,00,0000,00,19000101
10101G,25,00,.00,,,,,,,,,,0,00,00,0000,00,19000101
103PFN,00,00,.00,.00,.00,.00,.00,.00,.00,1.98,4.17,6.46,F,NS,00,0000,00,19000101
103PFN,00,01,8.85,11.33,13.88,16.52,19.25,22.11,25.03,28.07,31.24,34.52,F,NS,00,0000,00,19000101
103PFN,00,02,37.95,41.53,45.24,49.13,53.18,57.42,61.81,66.37,71.13,76.07,F,NS,00,0000,00,19000101
103PFN,00,03,81.22,86.56,92.11,97.88,103.86,110.05,116.48,123.13,130.05,137.23,F,NS,00,0000,00,19000101
103PFN,00,04,144.69,152.44,160.47,168.80,177.42,186.32,195.51,204.97,214.71,224.72,F,NS,00,0000,00,19000101
103PFN,00,05,234.99,245.52,256.30,267.32,278.60,290.13,301.87,313.86,326.07,338.55,F,NS,00,0000,00,19000101
103PFN,00,06,351.29,364.30,377.58,391.14,404.98,419.10,433.48,448.11,462.97,478.06,F,NS,00,0000,00,19000101
103PFN,00,07,493.37,508.83,524.43,540.15,555.99,571.92,587.92,603.98,620.08,636.25,F,NS,00,0000,00,19000101
103PFN,00,08,652.44,668.33,683.83,699.09,714.10,728.79,743.54,757.68,771.32,784.52,F,NS,00,0000,00,19000101
103PFN,00,09,797.73,812.34,827.82,843.83,860.44,877.91,897.74,921.87,954.73,,F,NS,00,0000,00,19000101
103PFN,01,00,.00,.00,.00,.00,.00,.00,.65,2.84,5.13,7.52,F,NS,00,0000,00,19000101
