PLAN,AGE,CNTL,NP0,NP1,NP2,NP3,NP4,NP5,NP6,NP7,NP8,NP9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
10.822,99,01,,,849.00,,,,,,,,0,00,00,0000,00,19000101
9057G,06,06,,,,.00,,,,,,,0,00,00,0000,00,19000101
10101G,25,00,.00,,,,,,,,,,0,00,00,0000,00,19000101
103PFN,00,00,.00,.00,.00,.00,.00,.00,.00,40.00,79.00,118.00,F,NS,00,0000,00,19000101
103PFN,00,01,155.00,191.00,224.00,256.00,287.00,317.00,345.00,372.00,398.00,423.00,F,NS,00,0000,00,19000101
103PFN,00,02,447.00,471.00,493.00,515.00,535.00,556.00,575.00,593.00,611.00,628.00,F,NS,00,0000,00,19000101
103PFN,00,03,645.00,660.00,676.00,690.00,704.00,717.00,730.00,742.00,754.00,766.00,F,NS,00,0000,00,19000101
103PFN,00,04,776.00,787.00,797.00,807.00,816.00,825.00,833.00,841.00,849.00,856.00,F,NS,00,0000,00,19000101
103PFN,00,05,863.00,870.00,876.00,882.00,888.00,894.00,899.00,904.00,909.00,913.00,F,NS,00,0000,00,19000101
103PFN,00,06,918.00,922.00,926.00,930.00,934.00,937.00,941.00,944.00,947.00,950.00,F,NS,00,0000,00,19000101
103PFN,00,07,953.00,955.00,958.00,961.00,963.00,965.00,967.00,969.00,971.00,973.00,F,NS,00,0000,00,19000101
103PFN,00,08,975.00,977.00,978.00,980.00,981.00,983.00,984.00,985.00,986.00,987.00,F,NS,00,0000,00,19000101
103PFN,00,09,988.00,989.00,990.00,992.00,993.00,994.00,995.00,996.00,998.00,,F,NS,00,0000,00,19000101
103PFN,01,00,.00,.00,.00,.00,.00,.00,13.00,54.00,94.00,132.00,F,NS,00,0000,00,19000101
103PFN,01,01,168.00,203.00,236.00,268.00,298.00,327.00,355.00,382.00,407.00,432.00,F,NS,00,0000,00,19000101
103PFN,01,02,456.00,479.00,501.00,523.00,543.00,563.00,582.00,600.00,618.00,635.00,F,NS,00,0000,00,19000101
103PFN,01,03,651.00,667.00,682.00,696.00,710.00,723.00,735.00,747.00,759.00,770.00,F,NS,00,0000,00,19000101
103PFN,01,04,781.00,791.00,801.00,811.00,820.00,829.00,837.00,845.00,852.00,860.00,F,NS,00,0000,00,19000101
103PFN,01,05,866.00,873.00,879.00,885.00,891.00,896.00,901.00,906.00,911.00,916.00,F,NS,00,0000,00,19000101
103PFN,01,06,920.00,924.00,928.00,932.00,935.00,939.00,942.00,945.00,949.00,951.00,F,NS,00,0000,00,19000101
103PFN,01,07,954.00,957.00,959.00,962.00,964.00,967.00,969.00,971.00,973.00,974.00,F,NS,00,0000,00,19000101
103PFN,01,08,976.00,978.00,979.00,981.00,982.00,983.00,985.00,986.00,987.00,988.00,F,NS,00,0000,00,19000101
103PFN,01,09,989.00,990.00,991.00,992.00,994.00,995.00,996.00,998.00,,,F,NS,00,0000,00,19000101
103PFN,02,00,.00,.00,.00,.00,.00,.00,25.00,66.00,105.00,143.00,F,NS,00,0000,00,19000101
103PFN,02,01,178.00,213.00,245.00,277.00,306.00,335.00,363.00,389.00,415.00,439.00,F,NS,00,0000,00,19000101
103PFN,02,02,463.00,486.00,508.00,529.00,550.00,569.00,588.00,606.00,624.00,640.00,F,NS,00,0000,00,19000101
103PFN,02,03,656.00,672.00,687.00,701.00,714.00,727.00,740.00,752.00,763.00,774.00,F,NS,00,0000,00,19000101
103PFN,02,04,785.00,795.00,805.00,814.00,823.00,832.00,840.00,848.00,855.00,862.00,F,NS,00,0000,00,19000101
103PFN,02,05,869.00,876.00,882.00,887.00,893.00,898.00,903.00,908.00,913.00,917.00,F,NS,00,0000,00,19000101
103PFN,02,06,922.00,926.00,930.00,933.00,937.00,940.00,944.00,947.00,950.00,953.00,F,NS,00,0000,00,19000101
103PFN,02,07,956.00,958.00,961.00,963.00,965.00,968.00,970.00,972.00,974.00,975.00,F,NS,00,0000,00,19000101
103PFN,02,08,977.00,979.00,980.00,982.00,983.00,984.00,985.00,986.00,988.00,989.00,F,NS,00,0000,00,19000101
103PFN,02,09,990.00,991.00,992.00,993.00,995.00,996.00,998.00,,,,F,NS,00,0000,00,19000101
103PFN,03,00,.00,.00,.00,.00,.00,.00,35.00,76.00,114.00,151.00,F,NS,00,0000,00,19000101
103PFN,03,01,187.00,220.00,253.00,284.00,313.00,342.00,369.00,395.00,421.00,445.00,F,NS,00,0000,00,19000101
103PFN,03,02,469.00,492.00,514.00,535.00,555.00,575.00,593.00,611.00,628.00,645.00,F,NS,00,0000,00,19000101
103PFN,03,03,661.00,676.00,691.00,705.00,718.00,731.00,744.00,755.00,767.00,778.00,F,NS,00,0000,00,19000101
103PFN,03,04,788.00,799.00,808.00,817.00,826.00,835.00,843.00,850.00,858.00,865.00,F,NS,00,0000,00,19000101
103PFN,03,05,871.00,878.00,884.00,889.00,895.00,900.00,905.00,910.00,915.00,919.00,F,NS,00,0000,00,19000101
103PFN,03,06,923.00,927.00,931.00,935.00,938.00,942.00,945.00,948.00,951.00,954.00,F,NS,00,0000,00,19000101
103PFN,03,07,957.00,959.00,962.00,964.00,967.00,969.00,971.00,973.00,975.00,976.00,F,NS,00,0000,00,19000101
103PFN,03,08,978.00,980.00,981.00,982.00,984.00,985.00,986.00,987.00,988.00,990.00,F,NS,00,0000,00,19000101
103PFN,03,09,991.00,992.00,993.00,994.00,996.00,998.00,,,,,F,NS,00,0000,00,19000101
103PFN,04,00,.00,.00,.00,.00,.00,2.00,43.00,84.00,122.00,158.00,F,NS,00,0000,00,19000101
103PFN,04,01,193.00,227.00,259.00,289.00,319.00,347.00,374.00,401.00,426.00,451.00,F,NS,00,0000,00,19000101
103PFN,04,02,474.00,497.00,519.00,540.00,560.00,579.00,598.00,616.00,633.00,649.00,F,NS,00,0000,00,19000101
103PFN,04,03,665.00,680.00,694.00,708.00,722.00,735.00,747.00,759.00,770.00,781.00,F,NS,00,0000,00,19000101
103PFN,04,04,792.00,802.00,811.00,820.00,829.00,837.00,845.00,853.00,860.00,867.00,F,NS,00,0000,00,19000101
103PFN,04,05,873.00,880.00,886.00,891.00,897.00,902.00,907.00,912.00,916.00,921.00,F,NS,00,0000,00,19000101
103PFN,04,06,925.00,929.00,933.00,936.00,940.00,943.00,946.00,950.00,952.00,955.00,F,NS,00,0000,00,19000101
103PFN,04,07,958.00,961.00,963.00,965.00,968.00,970.00,972.00,974.00,976.00,977.00,F,NS,00,0000,00,19000101
103PFN,04,08,979.00,980.00,982.00,983.00,984.00,986.00,987.00,988.00,989.00,990.00,F,NS,00,0000,00,19000101
103PFN,04,09,992.00,993.00,994.00,996.00,998.00,,,,,,F,NS,00,0000,00,19000101
103PFN,05,00,.00,.00,.00,.00,.00,10.00,51.00,91.00,128.00,164.00,F,NS,00,0000,00,19000101
103PFN,05,01,199.00,232.00,264.00,294.00,324.00,352.00,379.00,406.00,431.00,455.00,F,NS,00,0000,00,19000101
103PFN,05,02,479.00,502.00,523.00,544.00,564.00,583.00,602.00,620.00,637.00,653.00,F,NS,00,0000,00,19000101
103PFN,05,03,669.00,684.00,698.00,712.00,725.00,738.00,750.00,762.00,773.00,784.00,F,NS,00,0000,00,19000101
103PFN,05,04,794.00,804.00,814.00,823.00,831.00,840.00,848.00,855.00,862.00,869.00,F,NS,00,0000,00,19000101
103PFN,05,05,875.00,882.00,887.00,893.00,898.00,904.00,908.00,913.00,918.00,922.00,F,NS,00,0000,00,19000101
103PFN,05,06,926.00,930.00,934.00,938.00,941.00,945.00,948.00,951.00,954.00,957.00,F,NS,00,0000,00,19000101
103PFN,05,07,959.00,962.00,964.00,966.00,969.00,971.00,973.00,975.00,976.00,978.00,F,NS,00,0000,00,19000101
103PFN,05,08,980.00,981.00,982.00,984.00,985.00,986.00,987.00,989.00,990.00,991.00,F,NS,00,0000,00,19000101
103PFN,05,09,993.00,994.00,996.00,998.00,,,,,,,F,NS,00,0000,00,19000101
103PFN,06,00,.00,.00,.00,.00,.00,17.00,58.00,97.00,134.00,170.00,F,NS,00,0000,00,19000101
103PFN,06,01,205.00,237.00,269.00,299.00,329.00,357.00,384.00,410.00,436.00,460.00,F,NS,00,0000,00,19000101
103PFN,06,02,484.00,506.00,528.00,548.00,568.00,587.00,606.00,624.00,640.00,657.00,F,NS,00,0000,00,19000101
103PFN,06,03,672.00,687.00,701.00,715.00,728.00,741.00,753.00,765.00,776.00,787.00,F,NS,00,0000,00,19000101
103PFN,06,04,797.00,807.00,816.00,825.00,834.00,842.00,850.00,857.00,864.00,871.00,F,NS,00,0000,00,19000101
103PFN,06,05,877.00,883.00,889.00,895.00,900.00,905.00,910.00,915.00,919.00,924.00,F,NS,00,0000,00,19000101
103PFN,06,06,928.00,932.00,935.00,939.00,943.00,946.00,949.00,952.00,955.00,958.00,F,NS,00,0000,00,19000101
103PFN,06,07,960.00,963.00,965.00,968.00,970.00,972.00,974.00,975.00,977.00,979.00,F,NS,00,0000,00,19000101
103PFN,06,08,980.00,982.00,983.00,984.00,986.00,987.00,988.00,990.00,991.00,992.00,F,NS,00,0000,00,19000101
103PFN,06,09,994.00,995.00,998.00,,,,,,,,F,NS,00,0000,00,19000101
103PFN,07,00,.00,.00,.00,.00,.00,23.00,64.00,103.00,140.00,175.00,F,NS,00,0000,00,19000101
103PFN,07,01,209.00,242.00,274.00,304.00,333.00,362.00,389.00,415.00,440.00,465.00,F,NS,00,0000,00,19000101
103PFN,07,02,488.00,510.00,532.00,553.00,572.00,591.00,610.00,627.00,644.00,660.00,F,NS,00,0000,00,19000101
103PFN,07,03,676.00,691.00,705.00,718.00,732.00,744.00,756.00,768.00,779.00,790.00,F,NS,00,0000,00,19000101
103PFN,07,04,800.00,810.00,819.00,828.00,836.00,844.00,852.00,859.00,866.00,873.00,F,NS,00,0000,00,19000101
103PFN,07,05,879.00,885.00,891.00,896.00,902.00,907.00,912.00,916.00,921.00,925.00,F,NS,00,0000,00,19000101
103PFN,07,06,929.00,933.00,937.00,940.00,944.00,947.00,950.00,953.00,956.00,959.00,F,NS,00,0000,00,19000101
103PFN,07,07,961.00,964.00,966.00,969.00,971.00,973.00,975.00,976.00,978.00,980.00,F,NS,00,0000,00,19000101
103PFN,07,08,981.00,983.00,984.00,985.00,986.00,988.00,989.00,991.00,992.00,994.00,F,NS,00,0000,00,19000101
103PFN,07,09,995.00,998.00,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,08,00,.00,.00,.00,.00,.00,30.00,70.00,109.00,145.00,181.00,F,NS,00,0000,00,19000101
103PFN,08,01,215.00,247.00,279.00,309.00,338.00,367.00,394.00,420.00,445.00,469.00,F,NS,00,0000,00,19000101
103PFN,08,02,492.00,515.00,536.00,557.00,577.00,595.00,614.00,631.00,648.00,664.00,F,NS,00,0000,00,19000101
103PFN,08,03,679.00,694.00,708.00,722.00,735.00,748.00,760.00,771.00,782.00,793.00,F,NS,00,0000,00,19000101
103PFN,08,04,803.00,812.00,821.00,830.00,839.00,846.00,854.00,861.00,868.00,875.00,F,NS,00,0000,00,19000101
103PFN,08,05,881.00,887.00,893.00,898.00,903.00,908.00,913.00,918.00,922.00,926.00,F,NS,00,0000,00,19000101
103PFN,08,06,931.00,934.00,938.00,942.00,945.00,948.00,952.00,954.00,957.00,960.00,F,NS,00,0000,00,19000101
103PFN,08,07,963.00,965.00,967.00,970.00,972.00,974.00,975.00,977.00,979.00,980.00,F,NS,00,0000,00,19000101
103PFN,08,08,982.00,983.00,985.00,986.00,987.00,989.00,990.00,992.00,993.00,995.00,F,NS,00,0000,00,19000101
103PFN,08,09,997.00,,,,,,,,,,F,NS,00,0000,00,19000101
103PFN,09,00,.00,.00,.00,.00,.00,35.00,76.00,114.00,150.00,185.00,F,NS,00,0000,00,19000101
103PFN,09,01,219.00,252.00,284.00,314.00,343.00,371.00,398.00,424.00,449.00,474.00,F,NS,00,0000,00,19000101
103PFN,09,02,497.00,519.00,540.00,561.00,580.00,599.00,617.00,635.00,651.00,667.00,F,NS,00,0000,00,19000101
103PFN,09,03,683.00,697.00,712.00,725.00,738.00,751.00,763.00,774.00,785.00,795.00,F,NS,00,0000,00,19000101
103PFN,09,04,805.00,815.00,824.00,833.00,841.00,849.00,856.00,863.00,870.00,876.00,F,NS,00,0000,00,19000101
103PFN,09,05,883.00,889.00,894.00,900.00,905.00,910.00,915.00,919.00,924.00,928.00,F,NS,00,0000,00,19000101
103PFN,09,06,932.00,936.00,940.00,943.00,946.00,950.00,953.00,956.00,959.00,961.00,F,NS,00,0000,00,19000101
103PFN,09,07,964.00,966.00,968.00,971.00,973.00,975.00,976.00,978.00,980.00,981.00,F,NS,00,0000,00,19000101
103PFN,09,08,983.00,984.00,985.00,987.00,988.00,990.00,991.00,993.00,995.00,997.00,F,NS,00,0000,00,19000101
103PFN,10,00,.00,.00,.00,.00,.00,41.00,80.00,118.00,155.00,190.00,F,NS,00,0000,00,19000101
103PFN,10,01,224.00,257.00,288.00,318.00,348.00,376.00,403.00,429.00,454.00,478.00,F,NS,00,0000,00,19000101
103PFN,10,02,501.00,523.00,544.00,565.00,584.00,603.00,621.00,638.00,655.00,671.00,F,NS,00,0000,00,19000101
103PFN,10,03,686.00,701.00,715.00,728.00,741.00,754.00,766.00,777.00,788.00,798.00,F,NS,00,0000,00,19000101
103PFN,10,04,808.00,817.00,826.00,835.00,843.00,851.00,858.00,865.00,872.00,878.00,F,NS,00,0000,00,19000101
103PFN,10,05,884.00,890.00,896.00,901.00,907.00,911.00,916.00,921.00,925.00,929.00,F,NS,00,0000,00,19000101
103PFN,10,06,933.00,937.00,941.00,944.00,948.00,951.00,954.00,957.00,960.00,962.00,F,NS,00,0000,00,19000101
103PFN,10,07,965.00,967.00,970.00,972.00,974.00,975.00,977.00,979.00,980.00,982.00,F,NS,00,0000,00,19000101
103PFN,10,08,983.00,985.00,986.00,988.00,989.00,991.00,993.00,995.00,997.00,,F,NS,00,0000,00,19000101
103PFN,11,00,.00,.00,.00,.00,5.00,46.00,85.00,123.00,159.00,195.00,F,NS,00,0000,00,19000101
103PFN,11,01,228.00,261.00,293.00,323.00,352.00,380.00,407.00,433.00,458.00,482.00,F,NS,00,0000,00,19000101
103PFN,11,02,505.00,527.00,548.00,569.00,588.00,607.00,625.00,642.00,658.00,674.00,F,NS,00,0000,00,19000101
103PFN,11,03,689.00,704.00,718.00,732.00,744.00,757.00,768.00,780.00,790.00,801.00,F,NS,00,0000,00,19000101
103PFN,11,04,810.00,820.00,829.00,837.00,845.00,853.00,860.00,867.00,874.00,880.00,F,NS,00,0000,00,19000101
103PFN,11,05,886.00,892.00,898.00,903.00,908.00,913.00,918.00,922.00,927.00,931.00,F,NS,00,0000,00,19000101
103PFN,11,06,935.00,939.00,942.00,946.00,949.00,952.00,955.00,958.00,961.00,964.00,F,NS,00,0000,00,19000101
