PLAN,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE,MORT,ETIMORT,NFOINT,INTMETHCV
10.822,0,00,00,0000,00,19000101,,,,
100GDB,0,00,00,0000,00,19000101,,,,
10101G,0,00,00,0000,00,19000101,,,,
103PFN,F,NS,00,0000,00,19000101,,,,
103PFS,F,SM,00,0000,00,19000101,,,,
103PMN,M,NS,00,0000,00,19000101,,,,
103PMS,M,SM,00,0000,00,19000101,,,,
103R1F,0,00,00,0000,00,19000101,,,,
103R1M,0,00,00,0000,00,19000101,,,,
103R2G,0,00,00,0000,00,19000101,,,,
103R5F,0,00,00,0000,00,19000101,,,,
103R5M,0,00,00,0000,00,19000101,,,,
103R6G,0,00,00,0000,00,19000101,,,,
103RWG,0,00,00,0000,00,19000101,,,,
103X1F,0,00,00,0000,00,19000101,,,,
103X1M,0,00,00,0000,00,19000101,,,,
103X5F,0,00,00,0000,00,19000101,,,,
103X5M,0,00,00,0000,00,19000101,,,,
109PFN,F,NS,00,0000,00,19000101,,,,
109PFS,F,SM,00,0000,00,19000101,,,,
109PMN,M,NS,00,0000,00,19000101,,,,
109PMS,M,SM,00,0000,00,19000101,,,,
109R2G,0,00,00,0000,00,19000101,,,,
109R6G,0,00,00,0000,00,19000101,,,,
109RWG,0,00,00,0000,00,19000101,,,,
10A6N,0,00,00,0000,00,19000101,,,,
10ABFN,F,NS,00,0000,00,19000101,,,,
10ABFS,F,SM,00,0000,00,19000101,,,,
10ABMN,M,NS,00,0000,00,19000101,,,,
10ABMS,M,SM,00,0000,00,19000101,,,,
10ALP2,0,00,00,0000,00,19000101,,,,
10ALP6,0,00,00,0000,00,19000101,,,,
10B1FN,F,NS,00,0000,00,19000101,,,,
10B1FS,F,SM,00,0000,00,19000101,,,,
10B1MN,M,NS,00,0000,00,19000101,,,,
10B1MS,M,SM,00,0000,00,19000101,,,,
10B2FN,F,NS,00,0000,00,19000101,,,,
10B2FS,F,SM,00,0000,00,19000101,,,,
10B2MN,M,NS,00,0000,00,19000101,,,,
10B2MS,M,SM,00,0000,00,19000101,,,,
10BA6B,0,00,00,0000,00,19000101,,,,
10BA6N,0,00,00,0000,00,19000101,,,,
10BLFN,F,NS,00,0000,00,19000101,,,,
10BLFS,F,SM,00,0000,00,19000101,,,,
10BLMN,M,NS,00,0000,00,19000101,,,,
10BLMS,M,SM,00,0000,00,19000101,,,,
10CP05,0,00,00,0000,00,19000101,,,,
10CP10,0,00,00,0000,00,19000101,,,,
10CP20,0,00,00,0000,00,19000101,,,,
10CPSP,0,00,00,0000,00,19000101,,,,
10DPFN,F,NS,00,0000,00,19000101,,,,
10DPFS,F,SM,00,0000,00,19000101,,,,
10DPMN,M,NS,00,0000,00,19000101,,,,
10DPMS,M,SM,00,0000,00,19000101,,,,
10DR2G,0,00,00,0000,00,19000101,,,,
10DR6G,0,00,00,0000,00,19000101,,,,
10DRWG,0,00,00,0000,00,19000101,,,,
10DX1F,0,00,00,0000,00,19000101,,,,
10DX1M,0,00,00,0000,00,19000101,,,,
10DX5F,0,00,00,0000,00,19000101,,,,
10DX5M,0,00,00,0000,00,19000101,,,,
10FW5,0,00,00,0000,00,19000101,,,,
10HPFN,F,NS,00,0000,00,19000101,,,,
10HPFS,F,SM,00,0000,00,19000101,,,,
10HPMN,M,NS,00,0000,00,19000101,,,,
10HPMS,M,SM,00,0000,00,19000101,,,,
10HR2G,0,00,00,0000,00,19000101,,,,
10HR6G,0,00,00,0000,00,19000101,,,,
10HRWG,0,00,00,0000,00,19000101,,,,
10IFF1,0,00,00,0000,00,19000101,,,,
10IFF5,0,00,00,0000,00,19000101,,,,
10IFFS,F,SM,00,0000,00,19000101,,,,
10LPI2,0,00,00,0000,00,19000101,,,,
10LPI6,0,00,00,0000,00,19000101,,,,
10LPIS,0,00,00,0000,00,19000101,,,,
10P7FN,F,NS,00,0000,00,19000101,,,,
10P7FS,F,SM,00,0000,00,19000101,,,,
10P7MN,M,NS,00,0000,00,19000101,,,,
10P7MS,M,SM,00,0000,00,19000101,,,,
10P8FJ,F,00,00,0000,00,19000101,,,,
10P8FN,F,NS,00,0000,00,19000101,,,,
10P8FS,F,SM,00,0000,00,19000101,,,,
10P8MJ,M,00,00,0000,00,19000101,,,,
10P8MN,M,NS,00,0000,00,19000101,,,,
10P8MS,M,SM,00,0000,00,19000101,,,,
10P9FJ,F,00,00,0000,00,19000101,,,,
10P9FN,F,NS,00,0000,00,19000101,,,,
10P9FS,F,SM,00,0000,00,19000101,,,,
10P9MJ,M,00,00,0000,00,19000101,,,,
10P9MN,M,NS,00,0000,00,19000101,,,,
10P9MS,M,SM,00,0000,00,19000101,,,,
10PLP,0,00,00,0000,00,19000101,,,,
10PLP6,0,00,00,0000,00,19000101,,,,
10Q1FN,F,NS,00,0000,00,19000101,,,,
10Q1FS,F,SM,00,0000,00,19000101,,,,
10Q1MN,M,NS,00,0000,00,19000101,,,,
10Q1MS,M,SM,00,0000,00,19000101,,,,
10Q2FN,F,NS,00,0000,00,19000101,,,,
10Q2FS,F,SM,00,0000,00,19000101,,,,
10Q2MN,M,NS,00,0000,00,19000101,,,,
10Q2MS,M,SM,00,0000,00,19000101,,,,
10Q3FN,F,NS,00,0000,00,19000101,,,,
10Q3FS,F,SM,00,0000,00,19000101,,,,
10Q3MN,M,NS,00,0000,00,19000101,,,,
10Q3MS,M,SM,00,0000,00,19000101,,,,
10QLFN,F,NS,00,0000,00,19000101,,,,
10QLFS,F,SM,00,0000,00,19000101,,,,
10QLMN,M,NS,00,0000,00,19000101,,,,
10QLMS,M,SM,00,0000,00,19000101,,,,
10R28,0,00,00,0000,00,19000101,,,,
10R28A,0,00,00,0000,00,19000101,,,,
10R28G,0,00,00,0000,00,19000101,,,,
10R29G,0,00,00,0000,00,19000101,,,,
10R68,0,00,00,0000,00,19000101,,,,
10R68G,0,00,00,0000,00,19000101,,,,
10R69G,0,00,00,0000,00,19000101,,,,
10RW18,0,00,00,0000,00,19000101,,,,
10RW28,0,00,00,0000,00,19000101,,,,
10RW8,0,00,00,0000,00,19000101,,,,
10RW8A,0,00,00,0000,00,19000101,,,,
10RW8G,0,00,00,0000,00,19000101,,,,
10RW9G,0,00,00,0000,00,19000101,,,,
