PLAN,ISSCNTRY,CNTRYTXT,ISSUEST,STATETXT,MLOANINT,MLOANINTX
10.822,0000,ALL (OTHER),00,ALL (OTHER),,
10057,0000,ALL (OTHER),00,ALL (OTHER),,
100GDB,0000,ALL (OTHER),00,ALL (OTHER),,
1010,0000,ALL (OTHER),00,ALL (OTHER),,
10101G,0000,ALL (OTHER),00,ALL (OTHER),,
103PFN,0000,ALL (OTHER),00,ALL (OTHER),,
103PFS,0000,ALL (OTHER),00,ALL (OTHER),,
103PMN,0000,ALL (OTHER),00,ALL (OTHER),,
103PMS,0000,ALL (OTHER),00,ALL (OTHER),,
103R1F,0000,ALL (OTHER),00,ALL (OTHER),,
103R1M,0000,ALL (OTHER),00,ALL (OTHER),,
103R2G,0000,ALL (OTHER),00,ALL (OTHER),,
103R5F,0000,ALL (OTHER),00,ALL (OTHER),,
103R5M,0000,ALL (OTHER),00,ALL (OTHER),,
103R6G,0000,ALL (OTHER),00,ALL (OTHER),,
103RWG,0000,ALL (OTHER),00,ALL (OTHER),,
103X1F,0000,ALL (OTHER),00,ALL (OTHER),,
103X1M,0000,ALL (OTHER),00,ALL (OTHER),,
103X5F,0000,ALL (OTHER),00,ALL (OTHER),,
103X5M,0000,ALL (OTHER),00,ALL (OTHER),,
109PFN,0000,ALL (OTHER),00,ALL (OTHER),,
109PFS,0000,ALL (OTHER),00,ALL (OTHER),,
109PMN,0000,ALL (OTHER),00,ALL (OTHER),,
109PMS,0000,ALL (OTHER),00,ALL (OTHER),,
109R2G,0000,ALL (OTHER),00,ALL (OTHER),,
109R6G,0000,ALL (OTHER),00,ALL (OTHER),,
109RWG,0000,ALL (OTHER),00,ALL (OTHER),,
10A6N,0000,ALL (OTHER),00,ALL (OTHER),,
10ABFN,0000,ALL (OTHER),00,ALL (OTHER),,
10ABFS,0000,ALL (OTHER),00,ALL (OTHER),,
10ABMN,0000,ALL (OTHER),00,ALL (OTHER),,
10ABMS,0000,ALL (OTHER),00,ALL (OTHER),,
10ALP2,0000,ALL (OTHER),00,ALL (OTHER),,
10ALP6,0000,ALL (OTHER),00,ALL (OTHER),,
10B1FN,0000,ALL (OTHER),00,ALL (OTHER),,
10B1FS,0000,ALL (OTHER),00,ALL (OTHER),,
10B1MN,0000,ALL (OTHER),00,ALL (OTHER),,
10B1MS,0000,ALL (OTHER),00,ALL (OTHER),,
10B2FN,0000,ALL (OTHER),00,ALL (OTHER),,
10B2FS,0000,ALL (OTHER),00,ALL (OTHER),,
10B2MN,0000,ALL (OTHER),00,ALL (OTHER),,
10B2MS,0000,ALL (OTHER),00,ALL (OTHER),,
10BA5N,0000,ALL (OTHER),00,ALL (OTHER),,
10BA6B,0000,ALL (OTHER),00,ALL (OTHER),,
10BA6N,0000,ALL (OTHER),00,ALL (OTHER),,
10BLFN,0000,ALL (OTHER),00,ALL (OTHER),,
10BLFS,0000,ALL (OTHER),00,ALL (OTHER),,
10BLMN,0000,ALL (OTHER),00,ALL (OTHER),,
10BLMS,0000,ALL (OTHER),00,ALL (OTHER),,
10CP05,0000,ALL (OTHER),00,ALL (OTHER),,
10CP10,0000,ALL (OTHER),00,ALL (OTHER),,
10CP20,0000,ALL (OTHER),00,ALL (OTHER),,
10CPSP,0000,ALL (OTHER),00,ALL (OTHER),,
10DPFN,0000,ALL (OTHER),00,ALL (OTHER),,
