PLAN,UWCODE,UWDESCR
10.822,00,NOT APPLICABLE
10057,00,NOT APPLICABLE
100GDB,00,NOT APPLICABLE
1010,00,NOT APPLICABLE
10101G,00,NOT APPLICABLE
103PFN,NS,NON-SMOKER
103PFS,SM,SMOKER
103PMN,NS,NON-SMOKER
103PMS,SM,SMOKER
103R1F,00,NOT APPLICABLE
103R1M,00,NOT APPLICABLE
103R2G,00,NOT APPLICABLE
103R5F,00,NOT APPLICABLE
103R5M,00,NOT APPLICABLE
103R6G,00,NOT APPLICABLE
103RWG,00,NOT APPLICABLE
103X1F,00,NOT APPLICABLE
103X1M,00,NOT APPLICABLE
103X5F,00,NOT APPLICABLE
103X5M,00,NOT APPLICABLE
109PFN,NS,NON-SMOKER
109PFS,SM,SMOKER
109PMN,NS,NON-SMOKER
109PMS,SM,SMOKER
109R2G,00,NOT APPLICABLE
109R6G,00,NOT APPLICABLE
109RWG,00,NOT APPLICABLE
10A6N,00,NOT APPLICABLE
10ABFN,NS,NON-SMOKER
10ABFS,SM,SMOKER
10ABMN,NS,NON-SMOKER
10ABMS,SM,SMOKER
10ALP2,00,NOT APPLICABLE
10ALP6,00,NOT APPLICABLE
10B1FN,NS,NON-SMOKER
10B1FS,SM,SMOKER
10B1MN,NS,NON-SMOKER
10B1MS,SM,SMOKER
10B2FN,NS,NON-SMOKER
10B2FS,SM,SMOKER
10B2MN,NS,NON-SMOKER
10B2MS,SM,SMOKER
10BA5N,00,NOT APPLICABLE
10BA6B,00,NOT APPLICABLE
10BA6N,00,NOT APPLICABLE
10BLFN,NS,NON-SMOKER
10BLFS,SM,SMOKER
10BLMN,NS,NON-SMOKER
10BLMS,SM,SMOKER
10CP05,00,NOT APPLICABLE
10CP10,00,NOT APPLICABLE
10CP20,00,NOT APPLICABLE
10CPSP,00,NOT APPLICABLE
10DPFN,NS,NON-SMOKER
10DPFS,SM,SMOKER
10DPMN,NS,NON-SMOKER
10DPMS,SM,SMOKER
10DR2G,00,NOT APPLICABLE
10DR6G,00,NOT APPLICABLE
10DRWG,00,NOT APPLICABLE
10DX1F,00,NOT APPLICABLE
10DX1M,00,NOT APPLICABLE
10DX5F,00,NOT APPLICABLE
10DX5M,00,NOT APPLICABLE
10FW5,00,NOT APPLICABLE
10HPFN,NS,NON-SMOKER
10HPFS,SM,SMOKER
10HPMN,NS,NON-SMOKER
10HPMS,SM,SMOKER
10HR2G,00,NOT APPLICABLE
10HR6G,00,NOT APPLICABLE
10HRWG,00,NOT APPLICABLE
10IFF1,00,NOT APPLICABLE
10IFF5,00,NOT APPLICABLE
10IFFS,SM,SMOKER
10LPI2,00,NOT APPLICABLE
10LPI6,00,NOT APPLICABLE
10LPIS,00,NOT APPLICABLE
10P7FN,NS,NON-SMOKER
10P7FS,SM,SMOKER
10P7MN,NS,NON-SMOKER
10P7MS,SM,SMOKER
10P8FJ,00,NOT APPLICABLE
10P8FN,NS,NON-SMOKER
10P8FS,SM,SMOKER
10P8MJ,00,NOT APPLICABLE
10P8MN,NS,NON-SMOKER
10P8MS,SM,SMOKER
10P9FJ,00,NOT APPLICABLE
10P9FN,NS,NON-SMOKER
10P9FS,SM,SMOKER
10P9MJ,00,NOT APPLICABLE
10P9MN,NS,NON-SMOKER
10P9MS,SM,SMOKER
10PLP,00,NOT APPLICABLE
10PLP6,00,NOT APPLICABLE
10Q1FN,NS,NON-SMOKER
10Q1FS,SM,SMOKER
10Q1MN,NS,NON-SMOKER
10Q1MS,SM,SMOKER
10Q2FN,NS,NON-SMOKER
10Q2FS,SM,SMOKER
10Q2MN,NS,NON-SMOKER
10Q2MS,SM,SMOKER
10Q3FN,NS,NON-SMOKER
10Q3FS,SM,SMOKER
10Q3MN,NS,NON-SMOKER
10Q3MS,SM,SMOKER
10QLFN,NS,NON-SMOKER
10QLFS,SM,SMOKER
10QLMN,NS,NON-SMOKER
10QLMS,SM,SMOKER
10R28,00,NOT APPLICABLE
10R28A,00,NOT APPLICABLE
10R28G,00,NOT APPLICABLE
10R29G,00,NOT APPLICABLE
10R68,00,NOT APPLICABLE
10R68G,00,NOT APPLICABLE
10R69G,00,NOT APPLICABLE
10RW18,00,NOT APPLICABLE
10RW28,00,NOT APPLICABLE
10RW8,00,NOT APPLICABLE
10RW8A,00,NOT APPLICABLE
10RW8G,00,NOT APPLICABLE
10RW9G,00,NOT APPLICABLE
10S28G,00,NOT APPLICABLE
10SLPW,00,NOT APPLICABLE
10TAFA,00,NOT APPLICABLE
10TAFB,00,NOT APPLICABLE
10TAFC,00,NOT APPLICABLE
10TAFD,00,NOT APPLICABLE
9057G,00,NOT APPLICABLE
