PLAN,AGE,CNTL,TV0,TV1,TV2,TV3,TV4,TV5,TV6,TV7,TV8,TV9,GENDER,UWCLASS,BAND,ISSCNTRY,ISSUEST,EFFDATE
10057,00,00,,,.00,,,,,,,,0,00,00,0000,00,19000101
9057G,00,00,,.00,,.00,.00,,.00,,,,0,00,00,0000,00,19000101
9057G,00,03,,,,,,,,,.00,,0,00,00,0000,00,19000101
1010,00,00,1.00,,,,,,,,,,0,00,00,0000,00,19000101
10101G,25,00,.00,,,,,,,,,,0,00,00,0000,00,19000101
103PFN,00,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,00,09,.00,.00,.00,.00,.00,.00,.00,.00,.00,,F,NS,00,0000,00,19000101
103PFN,01,00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
103PFN,01,03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,F,NS,00,0000,00,19000101
