tracker_id,cfic_plan_code,ql_plan,in_plan_crosswalk,product_family,product_form,rate_category,requirement_level,confidence,qladmin_factor_table,qladmin_key_table,expected_source,priority_wave,source_received,source_received_date,source_file_location,extract_status,extract_complete_date,load_package_ready,qladmin_loaded,qladmin_load_date,loaded_by,validated_in_qladmin,validation_date,inventory_status_catalog,rate_gap_decision_catalog,notes,last_updated
0D0G|Gross Premium,0D0G,,N,Rated Premium / Substandard,Policy-level premium adjustment,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
0D0G|Other Required Factors,0D0G,,N,Rated Premium / Substandard,Policy-level premium adjustment,Other Required Factors,Substandard/rated premium factor or extra premium,High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
938|Gross Premium,938,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
938|Other Required Factors,938,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
938|Reserve / Valuation,938,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
951|Gross Premium,951,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
951|Other Required Factors,951,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
951|Reserve / Valuation,951,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
952|Gross Premium,952,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
952|Other Required Factors,952,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
952|Reserve / Valuation,952,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
961|Gross Premium,961,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
961|Other Required Factors,961,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
961|Reserve / Valuation,961,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
962|Gross Premium,962,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
962|Other Required Factors,962,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
962|Reserve / Valuation,962,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
963|Gross Premium,963,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
963|Other Required Factors,963,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
963|Reserve / Valuation,963,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
964|Gross Premium,964,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
964|Other Required Factors,964,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
964|Reserve / Valuation,964,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
965|Gross Premium,965,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
965|Other Required Factors,965,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
965|Reserve / Valuation,965,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
971|Gross Premium,971,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
971|Other Required Factors,971,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
971|Reserve / Valuation,971,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
972|Gross Premium,972,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
972|Other Required Factors,972,,N,Accident & Health,Specified-benefit policy,Other Required Factors,"Benefit schedule, elimination/waiting periods, coverage limits",High,QuikNff,,NFO / ETI / special factors,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
972|Reserve / Valuation,972,,N,Accident & Health,Specified-benefit policy,Reserve / Valuation,Conditional/statutory only,High,QuikTvs,QuikPlTv,Green sheets (terminal reserve),Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
973|Gross Premium,973,,N,Accident & Health,Specified-benefit policy,Gross Premium,Expected,High,QuikGps,QuikPlGp,Access / premium tables,Later,N,,,Not Started,,N,N,,,N,,Not Reviewed,TBD,,2026-07-11
