INVENTORY_ID,SOURCE_FULL_PATH,SOURCE_RELATIVE_PATH,FILENAME,EXTENSION,FILE_SIZE_BYTES,LAST_MODIFIED_UTC,SOURCE_SHA256,CATEGORY,PROBABLE_PURPOSE,PROBABLE_SOURCE_AUTHORITY,ORIGINAL_OR_GENERATED,CURRENT_OR_HISTORICAL,APPROVAL_STATUS,PROPOSED_DESTINATION_RELATIVE_PATH,MIGRATION_ACTION,CLASSIFICATION_CONFIDENCE,CLASSIFICATION_BASIS,DUPLICATE_GROUP_ID,CASE_COLLISION_STATUS,FILENAME_COLLISION_STATUS,PATH_LENGTH_RISK,HARDCODED_PATH_INDICATOR,CSO_REFERENCE_INDICATOR,QLA_CORE_REFERENCE_INDICATOR,SENSITIVE_DATA_INDICATOR,DEPENDS_ON,RISK,COPY_APPROVED,NOTES,STAGE2B_REVIEW_STATUS,STAGE2B_DECISION,CANONICAL_FILE_INDICATOR,FINAL_DESTINATION_RELATIVE_PATH,COPY_RESULT,DESTINATION_SHA256,COPY_VERIFICATION_STATUS,COPY_TIMESTAMP_UTC
CIT-INV-00001,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\__pycache__\cfic_paths.cpython-314.pyc,__pycache__/cfic_paths.cpython-314.pyc,cfic_paths.cpython-314.pyc,.pyc,1631,2026-07-12T03:04:16Z,36bf9197db5af15b4be990375363d6ad9f4fd61d94bc401f0b6c69682e61c350,Temporary files,Python bytecode cache,derived,generated,historical,unknown,,EXCLUDE_TEMPORARY,HIGH,path contains __pycache__ or .pyc extension,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_TEMPORARY per inventory,N,,,,,
CIT-INV-00002,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\802M_CV.zip,CFIC_Cash_Values/802M_CV.zip,802M_CV.zip,.zip,156726624,2025-10-22T12:46:54Z,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,Rate files,Cash-value green-sheet PDF archive,client,original,current,unknown,source/original/cash_values/802M_CV.zip,COPY,HIGH,per-family CV zip,,NONE,NONE,LOW,N,N,N,N,,,YES,Large file; LFS or external store,APPROVED_FOR_COPY,Approved COPY per Stage 2B decisions,N,source/original/cash_values/802M_CV.zip,ALREADY_PRESENT_VERIFIED,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,VERIFIED,2026-07-12T14:56:36Z
CIT-INV-00003,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\802W_CV.zip,CFIC_Cash_Values/802W_CV.zip,802W_CV.zip,.zip,77054136,2025-10-22T12:46:55Z,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,Rate files,Cash-value green-sheet PDF archive,client,original,current,unknown,source/original/cash_values/802W_CV.zip,COPY,HIGH,per-family CV zip,,NONE,NONE,LOW,N,N,N,N,,,YES,Large file; LFS or external store,APPROVED_FOR_COPY,Approved COPY per Stage 2B decisions,N,source/original/cash_values/802W_CV.zip,ALREADY_PRESENT_VERIFIED,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,VERIFIED,2026-07-12T14:56:37Z
CIT-INV-00004,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y700.png,CFIC_Cash_Values/_dev_p7mn/cash_y700.png,cash_y700.png,.png,10225,2026-07-11T22:19:23Z,20ef328387c0bbf0bca33d3b2d148143771ed12705a6933797e41f5a4eb62ee5,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y700.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00005,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y710.png,CFIC_Cash_Values/_dev_p7mn/cash_y710.png,cash_y710.png,.png,10161,2026-07-11T22:19:23Z,5e36c6b898b355e690fd86fb7c99704e7e4a110e9a3b64985f22b7ae8b339416,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y710.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00006,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y720.png,CFIC_Cash_Values/_dev_p7mn/cash_y720.png,cash_y720.png,.png,10687,2026-07-11T22:19:24Z,0d0b36f13f84d814b2260407b057bbea27d5afc2baeba6efc2d866208e675f32,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y720.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00007,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y730.png,CFIC_Cash_Values/_dev_p7mn/cash_y730.png,cash_y730.png,.png,11250,2026-07-11T22:19:24Z,e47771d8170b818b2dfd3c59a0af464a89f094017d65ad56913d77aae0590c52,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y730.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00008,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y740.png,CFIC_Cash_Values/_dev_p7mn/cash_y740.png,cash_y740.png,.png,10945,2026-07-11T22:19:24Z,787b1ce74f640355bcfb4a2e363ffe534062ef2011abdc20152fa8e52fc4455d,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y740.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00009,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y750.png,CFIC_Cash_Values/_dev_p7mn/cash_y750.png,cash_y750.png,.png,10592,2026-07-11T22:19:24Z,c25104e806522d89022cc8d164794c99a9faa5295a479af28ce124213d7596cc,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y750.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00010,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y760.png,CFIC_Cash_Values/_dev_p7mn/cash_y760.png,cash_y760.png,.png,10040,2026-07-11T22:19:24Z,499d8bd312eb7744db7618f6bb145a8c81a4c18a49525deec724209597005aca,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y760.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
CIT-INV-00011,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\_dev_p7mn\cash_y770.png,CFIC_Cash_Values/_dev_p7mn/cash_y770.png,cash_y770.png,.png,9777,2026-07-11T22:19:24Z,8dd9c993550cc612a0a2d60fbcda639abf87682f618b10fd8e4294ab25c1269a,Temporary files,Development or sample artifact,derived,generated,historical,unknown,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/cash_y770.png,EXCLUDE_GENERATED,HIGH,dev or sample path segment,,NONE,NONE,LOW,N,N,N,N,,,NO,,EXCLUDED,Migration action EXCLUDE_GENERATED per inventory,N,,,,,
