SOURCE_ID,ORIGINAL_SOURCE_PATH,ORIGINAL_RELATIVE_PATH,DESTINATION_RELATIVE_PATH,FILENAME,FILE_TYPE,FILE_SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,SOURCE_CATEGORY,SOURCE_AUTHORITY,AUTHORITY_STATUS,ORIGINAL_OR_GENERATED,CURRENT_OR_HISTORICAL,SENSITIVE_DATA_STATUS,DUPLICATE_GROUP_ID,CANONICAL_FILE_INDICATOR,MIGRATION_TIMESTAMP_UTC,NOTES
CIT-SRC-00001,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\802M_CV.zip,CFIC_Cash_Values/802M_CV.zip,source/original/cash_values/802M_CV.zip,802M_CV.zip,.zip,156726624,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:36Z,Approved COPY per Stage 2B decisions
CIT-SRC-00002,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\802W_CV.zip,CFIC_Cash_Values/802W_CV.zip,source/original/cash_values/802W_CV.zip,802W_CV.zip,.zip,77054136,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:37Z,Approved COPY per Stage 2B decisions
CIT-SRC-00003,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\ABFN_CV.zip,CFIC_Cash_Values/ABFN_CV.zip,source/original/cash_values/ABFN_CV.zip,ABFN_CV.zip,.zip,170804111,b0584c8fdc53e911c1da8cb1e05ad0ee6567832de7cb843f178c59083b7ac770,b0584c8fdc53e911c1da8cb1e05ad0ee6567832de7cb843f178c59083b7ac770,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:38Z,Approved COPY per Stage 2B decisions
CIT-SRC-00004,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\ABFS_CV.zip,CFIC_Cash_Values/ABFS_CV.zip,source/original/cash_values/ABFS_CV.zip,ABFS_CV.zip,.zip,227656627,0d4dd8201e99d83aef55a58e8a6446967167c78e747b6003c471be0adcc3a62a,0d4dd8201e99d83aef55a58e8a6446967167c78e747b6003c471be0adcc3a62a,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:40Z,Approved COPY per Stage 2B decisions
CIT-SRC-00005,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\ABMN_CV.zip,CFIC_Cash_Values/ABMN_CV.zip,source/original/cash_values/ABMN_CV.zip,ABMN_CV.zip,.zip,171168193,9237706ee7da478062dcfb88a29ce3b9a2e17839016c0402a5505793c385a19f,9237706ee7da478062dcfb88a29ce3b9a2e17839016c0402a5505793c385a19f,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:43Z,Approved COPY per Stage 2B decisions
CIT-SRC-00006,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\ABMS_CV.zip,CFIC_Cash_Values/ABMS_CV.zip,source/original/cash_values/ABMS_CV.zip,ABMS_CV.zip,.zip,228707250,c3daf3e58f366bea146403b4024c9471e3d5581b030dd24e69a0c1310c305b54,c3daf3e58f366bea146403b4024c9471e3d5581b030dd24e69a0c1310c305b54,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:45Z,Approved COPY per Stage 2B decisions
CIT-SRC-00007,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\MultipleCashValueFiles.zip,CFIC_Cash_Values/MultipleCashValueFiles.zip,quarantine/duplicate_review/MultipleCashValueFiles.zip,MultipleCashValueFiles.zip,.zip,278330287,111d1041f2db37773f62e5b5c3ba5584a2797ac4fc4143f710117fa29c24506e,111d1041f2db37773f62e5b5c3ba5584a2797ac4fc4143f710117fa29c24506e,Y,Archive files,client,QUARANTINED,original,current,N,,N,2026-07-12T14:56:48Z,Approved COPY_TO_QUARANTINE per Stage 2B decisions
CIT-SRC-00008,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\P7FN_CV.zip,CFIC_Cash_Values/P7FN_CV.zip,source/original/cash_values/P7FN_CV.zip,P7FN_CV.zip,.zip,140924178,ad0f2420cffcc6ca21a70212c5ddb64421d498e834aa7ce51f2d946c9112116e,ad0f2420cffcc6ca21a70212c5ddb64421d498e834aa7ce51f2d946c9112116e,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:51Z,Approved COPY per Stage 2B decisions
CIT-SRC-00009,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\P7FS_CV.zip,CFIC_Cash_Values/P7FS_CV.zip,source/original/cash_values/P7FS_CV.zip,P7FS_CV.zip,.zip,197924925,733653d3543da1bb114ae107990a3bec3980f96d00f734e72a506c570a7651eb,733653d3543da1bb114ae107990a3bec3980f96d00f734e72a506c570a7651eb,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:53Z,Approved COPY per Stage 2B decisions
CIT-SRC-00010,C:\Users\warren\Documents\GitHub\Warrenhughes1974\CFIC_Rates\CFIC_Cash_Values\P7MN_CV.zip,CFIC_Cash_Values/P7MN_CV.zip,source/original/cash_values/P7MN_CV.zip,P7MN_CV.zip,.zip,138585368,7decc07d3cfe0dbd3f8b79b7359a553af5cac67cb4a7e3cae623241a2de12309,7decc07d3cfe0dbd3f8b79b7359a553af5cac67cb4a7e3cae623241a2de12309,Y,Rate files,client,PENDING_REVIEW,original,current,N,,N,2026-07-12T14:56:55Z,Approved COPY per Stage 2B decisions
