ASSET_ID,CURRENT_RELATIVE_PATH,FILENAME,LANGUAGE_OR_FORMAT,PROBABLE_ROLE,CURRENT_LIFECYCLE_STATUS,PRIMARY_ENTRY_POINT_INDICATOR,IMPORTED_MODULES,LOCAL_DEPENDENCIES,EXTERNAL_DEPENDENCIES,QLA_CORE_DEPENDENCIES,INPUT_PATHS,OUTPUT_PATHS,CONFIGURATION_INPUTS,SOURCE_DATA_DEPENDENCIES,GENERATED_OUTPUT_DEPENDENCIES,WRITES_FILES,MODIFIES_DATA,SAFE_TO_EXECUTE,CITIZENS_SPECIFIC,APPEARS_REUSABLE,APPEARS_HISTORICAL,HAS_TESTS,HAS_DOCUMENTATION,KNOWN_ISSUES,RECOMMENDED_DISPOSITION
CIT-TECH-0001,archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/cfic_green_sheet_template.py,cfic_green_sheet_template.py,py,Archived issue/dev script,historical,N,__future__;dataclasses,,__future__;dataclasses,N,,,,,,N,N,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0002,archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,extract_cfic_green_sheets.py,py,Archived issue/dev script,historical,N,cfic_green_sheet_template;__future__;argparse;csv;cv2;easyocr;fitz;numpy;pathlib;re;zipfile,cfic_green_sheet_template,__future__;argparse;csv;cv2;easyocr;fitz;numpy;pathlib;re;zipfile,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0003,archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/research_cfic_issue01_inventory.py,research_cfic_issue01_inventory.py,py,Archived issue/dev script,historical,N,__future__;collections;csv;openpyxl;pathlib;re;zipfile,,__future__;collections;csv;openpyxl;pathlib;re;zipfile,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,Y,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0004,archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/risk_review_cfic_issue01.py,risk_review_cfic_issue01.py,py,Archived issue/dev script,historical,N,__future__;collections;csv;pathlib,,__future__;collections;csv;pathlib,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0005,archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/validate_cfic_issue01_p7mn_pilot.py,validate_cfic_issue01_p7mn_pilot.py,py,Archived issue/dev script,historical,N,__future__;argparse;csv;pathlib,,__future__;argparse;csv;pathlib,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0006,archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/cfic_permalife7_template.py,cfic_permalife7_template.py,py,Archived issue/dev script,historical,N,__future__;dataclasses,,__future__;dataclasses,N,,,,,,N,N,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0007,archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,emit_cfic_pdf_rates.py,py,Archived issue/dev script,historical,N,qla_core.rate_dbf_schema;__future__;argparse;csv;pathlib;sys,qla_core.rate_dbf_schema,__future__;argparse;csv;pathlib;sys,Y,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0008,archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,extract_cfic_pdf_rates.py,py,Archived issue/dev script,historical,N,cfic_permalife7_template;__future__;argparse;csv;cv2;easyocr;fitz;numpy;pathlib;re;sys,cfic_permalife7_template,__future__;argparse;csv;cv2;easyocr;fitz;numpy;pathlib;re;sys,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0009,archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,validate_cfic_pdf_permalife7.py,py,Archived issue/dev script,historical,N,__future__;argparse;csv;pathlib;sys,,__future__;argparse;csv;pathlib;sys,N,,,,,,Y,Y,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
CIT-TECH-0010,archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_crosswalk.py,cfic_crosswalk.py,py,Archived issue/dev script,historical,N,__future__;openpyxl;pathlib;re,,__future__;openpyxl;pathlib;re,N,,,,,,N,N,HISTORICAL_ONLY,Y,N,Y,N,N,,RETAIN_HISTORICAL
