SOURCE_PLAN_CODE,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_OUTPUT,PLAN_NAME,PRODUCT_FAMILY,POSSIBLE_ALIAS,SOURCE_AUTHORITY_STATUS,RECONCILIATION_STATUS,NOTES
$GS2,N,Y,N,N,N,N,,,,UNKNOWN,DBF_ONLY,
.822,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
0000,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
010G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
011G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
012G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
013G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
014G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
020G,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
021G,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
051G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
052G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
053G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
054G,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
057,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
057F,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
057G,Y,Y,Y,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
0D0G,Y,Y,N,Y,N,N,Rated Premium / Substandard,Rated Premium / Substandard,,UNKNOWN,MATCHED,
10,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
100,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
100V,N,Y,Y,N,N,N,,,,UNKNOWN,DBF_ONLY,
1011,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
1012,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
1013,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
1014,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
1015,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
101C,Y,Y,N,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
