SOURCE_PLAN_CODE,PRODUCT_FAMILY,BASE_OR_RIDER,PROPOSED_SCOPE_STATUS,GROSS_PREMIUM,CASH_VALUE,NET_PREMIUM,RESERVE,DIVIDEND_PUA,LOAN_VALUES,LOAN_INTEREST,COI,EXPENSE,INTEREST_CREDITING,OTHER,EXTENDED_TERM,PAID_UP,MODAL_FACTOR,GUIDELINE_PREMIUM,SETTLEMENT_FACTOR
$GS2,,BASE,IN_SCOPE_BASE_PLAN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
.822,,BASE,IN_SCOPE_PENDING_SOURCE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
0000,,BASE,IN_SCOPE_PENDING_SOURCE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,REQUIRES_ACTUARIAL_REVIEW,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
010G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
011G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
012G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
013G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
014G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
020G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
021G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
051G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
052G,Rider,RIDER,IN_SCOPE_RIDER,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED_AUTHORITY_PENDING,NOT_APPLICABLE,NOT_APPLICABLE,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN,APPLICABILITY_UNKNOWN
