SOURCE_PLAN_CODE,IN_TRACKER,IN_PLAN_DBF,IN_DRAFT_QUIK_OUTPUT,COVERAGE_INTERPRETATION,NOTES
.822,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
0000,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
057,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
057F,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
057G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
10,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
101G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3PFN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3PFS,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3PMN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3PMS,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R1F,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R1M,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R2G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R5F,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R5M,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3R6G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3RWG,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3X1F,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3X1M,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3X5F,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
3X5M,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
6,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9PFN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9PFS,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9PMN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9PMS,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9R2G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9R6G,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
9RWG,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
A6N,N,N,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
ABFN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
ABFS,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
ABMN,Y,Y,Y,RESERVE_WAVE_SUBSET — plans successfully staged from cifi0007 (emit_summary lists same 138),Not all 301/308 plans have reserve grids; absence ≠ not applicable
