DUPLICATE_GROUP_ID,INVENTORY_ID,SOURCE_RELATIVE_PATH,FILE_SIZE_BYTES,SOURCE_SHA256,MIGRATION_ACTION
DUP-0001,CIT-INV-00025,CFIC_Cash_Values/_dev_p7mn/P7MN_18.pdf,3231572,36c16fd982b5fc394e89b41ca974356fd74f1d3b536336e4596c9080c39e7129,EXCLUDE_GENERATED
DUP-0001,CIT-INV-00035,CFIC_Cash_Values/_sample_pdfs/P7MN_18.pdf,3231572,36c16fd982b5fc394e89b41ca974356fd74f1d3b536336e4596c9080c39e7129,EXCLUDE_GENERATED
DUP-0002,CIT-INV-00133,CFIProposalMaker.zip,379100,717b76a2d362efc152d985afe26487f43a97977e43ad507b9d40b8a40aa10e65,DO_NOT_MIGRATE
DUP-0003,CIT-INV-00249,extracted/CFIProposalMakerRev2.mdb,1843200,dfccc7cdac84634b841648578e8e9a78108b9bacb21f959b748499a94e1a89f3,DUPLICATE_REVIEW
DUP-0004,CIT-INV-00433,Issue_Log/CFIC_Issue_03/evidence/cfic_issue03_p7mn_validation.csv,302,0d8466c7ca57f97616898fc8f058838ff1a37bc00955a566218ff8c5ee88bfac,COPY
DUP-0002,CIT-INV-00465,source/CFIProposalMaker.zip,379100,717b76a2d362efc152d985afe26487f43a97977e43ad507b9d40b8a40aa10e65,COPY
DUP-0003,CIT-INV-00466,source/CFIProposalMakerRev2.mdb,1843200,dfccc7cdac84634b841648578e8e9a78108b9bacb21f959b748499a94e1a89f3,COPY
DUP-0005,CIT-INV-00481,SourceData_11-18-2024/DCI534.PT1,500,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,COPY_TO_ARCHIVE
DUP-0005,CIT-INV-00486,SourceData_11-18-2024/DCI800.PT1,500,e2237b9ffde9af7fb464b6c259b2abd955aff230d33bf4730d07b87848a0a924,COPY_TO_ARCHIVE
DUP-0004,CIT-INV-00502,validation/cfic_issue03_p7mn_validation.csv,302,0d8466c7ca57f97616898fc8f058838ff1a37bc00955a566218ff8c5ee88bfac,COPY
