K10,K25,K50,K100,K250,K500,WOP,Age,Sex
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,15,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,15,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,16,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,16,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,17,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,17,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,18,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,18,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,19,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,19,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,20,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,20,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,21,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,21,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,22,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,22,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,23,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,23,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,24,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,24,Male
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,25,Female
4.239999771,2.579999924,2.069999933,1.820000052,1.700000048,1.629999995,0.1599999964,25,Male
4.239999771,2.579999924,2.059999943,1.779999971,1.639999986,1.559999943,0.2099999934,26,Female
4.260000229,2.609999895,2.099999905,1.850000024,1.74000001,1.669999957,0.1599999964,26,Male
4.25,2.619999886,2.089999914,1.809999943,1.669999957,1.590000033,0.2099999934,27,Female
4.269999981,2.650000095,2.130000114,1.889999986,1.769999981,1.700000048,0.1599999964,27,Male
4.260000229,2.640000105,2.119999886,1.840000033,1.710000038,1.629999995,0.2199999988,28,Female
4.289999962,2.670000076,2.170000076,1.919999957,1.809999943,1.74000001,0.1599999964,28,Male
4.269999981,2.670000076,2.150000095,1.879999995,1.74000001,1.659999967,0.2199999988,29,Female
4.300000191,2.700000048,2.200000048,1.960000038,1.840000033,1.769999981,0.1700000018,29,Male
4.28000021,2.680000067,2.180000067,1.899999976,1.769999981,1.690000057,0.2300000042,30,Female
