SP,Pay20Life,PdUp65,Age
750,80,50,0
752.5,80.05000305,50.04999924,1
775,80.5,51.75,10
777.5,80.55000305,52.04999924,11
780,80.59999847,52.40000153,12
782.5,80.65000153,52.75,13
785,80.69999695,53.15000153,14
787.5,80.75,53.54999924,15
790,80.80000305,54,16
792.5,80.84999847,54.45000076,17
795,80.90000153,54.95000076,18
797.5,80.94999695,55.45000076,19
755,80.09999847,50.15000153,2
800,81,56,20
802,81.05000305,56.54999924,21
804,81.09999847,57.15000153,22
806,81.15000153,57.75,23
808,81.19999695,58.40000153,24
810,81.25,59.04999924,25
812,81.30000305,59.34999847,26
814,81.34999847,59.75,27
816,81.40000153,60.15000153,28
818,81.44999695,60.65000153,29
757.5,80.15000153,50.25,3
820,81.5,61.15000153,30
823,81.58999634,61.75,31
826,81.59999847,62.34999847,32
829,81.65000153,63.04999924,33
832,81.69999695,63.84999847,34
835,81.75,64.69999695,35
838,81.80000305,65.5,36
841,81.84999847,66.5,37
844,81.90000153,67.55000305,38
847,81.94999695,68.69999695,39
760,80.19999695,50.40000153,4
850,82,70,40
853,82.09999847,71.5,41
856,82.19999695,73.5,42
859,82.30000305,76,43
862,82.40000153,79,44
865,82.5,82.5,45
868,83,86,46
871,83.5,90.5,47
874,84,95,48
877,84.5,100.5,49
762.5,80.25,50.54999924,5
880,85,106,50
884,86,112.5,51
888,87,119.5,52
892,88,127,53
896,89,135,54
900,90,143.5,55
765,80.30000305,50.75,6
767.5,80.34999847,50.95000076,7
770,80.40000153,51.20000076,8
772.5,80.44999695,51.45000076,9
